name,design_phase,x,y,z,m_true_Phi_dimless,R_peak_dimless,R_gradient_peak_dimless,hessian_mixing_max_radius_dimless,center_energy_excess_fraction,Phi_gradient_fraction
baseline_zero_bias,baseline,0.0,0.0,0.0,1.0541463322499005,5.860202508437851,5.207425309387891,5.913579732488854,0.0625878658328138,0.7039743557809136
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,1.0541463322499005,5.88062002583441,5.230467936164007,5.933122213425559,0.0600167286553049,0.701759879376559
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,1.054146332249901,5.870411267136131,5.218800783365973,5.923205133547231,0.0612927230057291,0.7028700019364693
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,1.054146332249901,5.849993749739572,5.196049835409809,5.9039543314304765,0.0639022620247869,0.7050729357215704
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,1.0541463322499005,5.839784991041293,5.184674361431727,5.894328930372099,0.0652360132601985,0.7061657370711732
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,1.0332728363425343,5.937497395724822,5.2666361098379095,5.994083086795283,0.0679619132783456,0.7083339558068231
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,1.043657400991309,5.898704112671361,5.236884870202925,5.953539730822118,0.0652359852349565,0.7061657209467613
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,1.0647406790201748,5.822284261844244,5.178257427392808,5.8739114129755405,0.0600167549161464,0.7017598958163499
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,1.0754415007456384,5.784657694070586,5.149672903037626,5.8348264511021295,0.0575218009837374,0.6995223845760398
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,1.0541463322499005,5.85641068377849,5.199841660069169,5.910079586649443,0.0629896864105271,0.7036557667629075
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,1.0541463322499005,5.858452435518146,5.20363348472853,5.911829659569149,0.0627880513404813,0.7038154325665917
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,1.0541463322499005,5.861952581357556,5.211217134047252,5.915329805408558,0.0623891151344083,0.7041325413413615
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,1.0541463322499005,5.863702654277262,5.215008958706613,5.917079878328264,0.0621917846894721,0.7042899941350833
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,1.038452137988154,5.93341389224551,5.268969540397516,5.988249510396266,0.0645666700454716,0.7056200345829713
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,1.0700777138836166,5.818784116004833,5.181174215592316,5.868952873036376,0.0569098388902539,0.698959398563732
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,1.0384521379881535,5.902787616150673,5.234551439643319,5.959373307221134,0.0686556637724513,0.7088724091149592
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,1.0700777138836164,5.788157839909996,5.146756114838118,5.839784991041293,0.0606523783970994,0.7023156858377714
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,1.054146332249901,5.872744697695737,5.218800783365973,5.925538564106837,0.060946315733619,0.7020768191506869
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,1.054146332249901,5.878286595274803,5.230467936164007,5.930788782865953,0.0603615321313231,0.7025528489840466
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,1.0541463322499007,5.842118421600899,5.184674361431727,5.896370682111755,0.0648744393735542,0.7053815607611146
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,1.0541463322499007,5.847660319179965,5.196049835409809,5.901620900870869,0.0642622714920465,0.7058568923879308
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,1.0384521379881535,5.915329805408558,5.245926913621401,5.971040460019167,0.0669038686927718,0.7070143838448971
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,1.0384521379881535,5.920871702987624,5.257302387599483,5.976290678778282,0.0662778269868273,0.7074894093168108
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,1.0700777138836166,5.800700029167881,5.1581315888162,5.8517438226592775,0.0590470109299652,0.7004049822595378
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,1.0700777138836166,5.806241926746948,5.169507062794283,5.8569940414183925,0.0584757276808557,0.7008814052302982
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,1.0355911722606672,5.942747614483936,5.272469686236926,5.998166590274595,0.0654241510001976,0.7057715669601929
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,1.0648512863654378,5.83511812992208,5.193716404850202,5.886453602233426,0.0583670730524581,0.7004375381880725
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,1.0724670321689702,5.79661652568857,5.158714946456103,5.847076961540064,0.0580031987872481,0.699836905630753
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,1.0561983631963328,5.839201633401391,5.184091003791824,5.892870536272344,0.0637979432508916,0.7045383000951803
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,1.064323632075843,5.806825284386849,5.163381807575315,5.85961915079795,0.0623039760610427,0.7042639093903535
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,1.04267191140764,5.896370682111755,5.234551439643319,5.951789657902412,0.0663189059378622,0.707316410533898
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,1.046870594918864,5.894912288012,5.235134797283219,5.948872869702904,0.0633364077109081,0.7042843408996601
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,1.053261372854028,5.861077544897704,5.209175382307596,5.914746447768657,0.0631451329947602,0.7047986925702394
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,1.0541463322499005,5.89112046335264,5.242135088962041,5.942747614483936,0.0587597747492378,0.7006439937927049
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,1.054146332249901,5.912121338389099,5.265469394558107,5.9625817742405935,0.0563025408213176,0.6983949588473166
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,1.0541463322499005,5.943914329763739,5.300762531772158,5.99291637151548,0.0527566191435252,0.6949783551875384
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,1.0541463322499007,5.829867911162965,5.173590566273594,5.884703529313722,0.0665892179433949,0.7072527556412541
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,1.0541463322499005,5.8100337514063085,5.151131297137381,5.866036084836868,0.0693543645202339,0.7094094301686488
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,1.0541463322499007,5.780865869411225,5.118171590482937,5.838326596941539,0.0736502501446383,0.7126009948107875
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,1.0229915998384578,5.9768740364181845,5.2966790282928455,6.034918121588399,0.0707663967256534,0.71047903279697
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,1.0027350089656115,6.057085711904662,5.357639901662569,6.118338264094337,0.0766137381939089,0.7146996421177508
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.9730997107834014,6.180757531563815,5.451560481686737,6.247260302512604,0.0859893029952281,0.7208566300698723
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,1.0862498675173804,5.747614483936831,5.121088378682445,5.79632484686862,0.0551021033036936,0.6972618736656225
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,1.1081935704451178,5.674694778949123,5.065086045251885,5.720196674861453,0.0504846407392722,0.692672100018848
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,1.1419430891633078,5.568815367306971,4.983415975665652,5.609650402100087,0.0440977657378885,0.6856167028784698
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,1.0541463322499005,5.854660610858786,5.196049835409809,5.908329513729738,0.0631927859967353,0.7034953533853833
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,1.0541463322499005,5.851160465019376,5.188174507271136,5.904537689070377,0.0636034395566612,0.7031722637219766
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,1.0541463322499005,5.84561856744031,5.176507354473102,5.899287470311263,0.0642307895353209,0.7026818949199684
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,1.0541463322499005,5.865744406016917,5.218800783365973,5.918829951247968,0.0619958601362584,0.7044467190015278
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,1.0541463322499005,5.869244551856327,5.226384432684695,5.922330097087379,0.0616081722090375,0.7047580040756503
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,1.0541463322499005,5.874786449435393,5.237759906662777,5.927871994666445,0.0610368362687228,0.7052195905448608
