name,design_phase,x,y,z,m_true_Phi_dimless,xi_false_Phi_dimless,R_peak_dimless,R_gradient_peak_dimless,hessian_mixing_max_radius_dimless
baseline_zero_bias,baseline,0.0,0.0,0.0,1.0541463322499005,0.2739725846931947,5.860202508437851,5.207425309387891,5.913579732488854
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,1.0541463322499005,0.2739725846931947,5.88062002583441,5.230467936164007,5.933122213425559
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,1.054146332249901,0.2739725846931947,5.870411267136131,5.218800783365973,5.923205133547231
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,1.054146332249901,0.2739725846931947,5.849993749739572,5.196049835409809,5.9039543314304765
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,1.0541463322499005,0.2739725846931947,5.839784991041293,5.184674361431727,5.894328930372099
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,1.0332728363425343,0.2795071980345911,5.937497395724822,5.2666361098379095,5.994083086795283
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,1.043657400991309,0.2767260549458427,5.898704112671361,5.236884870202925,5.953539730822118
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,1.0647406790201748,0.2712465119273273,5.822284261844244,5.178257427392808,5.8739114129755405
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,1.0754415007456384,0.2685475640386922,5.784657694070586,5.149672903037626,5.8348264511021295
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,1.0541463322499005,0.2768426985097588,5.85641068377849,5.199841660069169,5.910079586649443
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,1.0541463322499005,0.2754036003964269,5.858452435518146,5.20363348472853,5.911829659569149
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,1.0541463322499005,0.2725495966831929,5.861952581357556,5.211217134047252,5.915329805408558
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,1.0541463322499005,0.2711345821613105,5.863702654277262,5.215008958706613,5.917079878328264
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,1.038452137988154,0.2781131500685985,5.93341389224551,5.268969540397516,5.988249510396266
