name,design_phase,x,y,z,X,Y,Z,rho,lambda_Phi,lambda_brane,mu2_tilde,g,bias,v_brane_reduced_planck,v_brane_GeV,length_unit_m,potential_unit_GeV4,surface_tension_unit_GeV3,false_Hessian_PhiPhi,false_Hessian_phiphi,false_Hessian_cross,true_Hessian_PhiPhi,true_Hessian_phiphi,true_Hessian_cross,false_Hessian_eigenvalue_soft,false_Hessian_eigenvalue_hard,true_Hessian_eigenvalue_soft,true_Hessian_eigenvalue_hard,m_false_Phi_dimless,m_false_phi_dimless,m_true_Phi_dimless,m_true_phi_dimless,m_false_Phi_GeV,m_false_phi_GeV,m_true_Phi_GeV,m_true_phi_GeV,xi_false_Phi_dimless,xi_false_phi_dimless,xi_true_Phi_dimless,xi_true_phi_dimless,xi_false_Phi_m,xi_false_phi_m,xi_true_Phi_m,xi_true_phi_m,r_max_dimless,R_peak_dimless,R_peak_m,action_FWHM_dimless,action_FWHM_m,R_gradient_peak_dimless,R_gradient_peak_m,gradient_FWHM_dimless,gradient_FWHM_m,gradient_FWHM_over_xi_false_Phi,gradient_FWHM_over_xi_false_phi,gradient_FWHM_over_xi_true_Phi,gradient_FWHM_over_xi_true_phi,false_phi_healing_over_rmax,Phi_gradient_peak_dimless,phi_gradient_peak_dimless,Phi_gradient_FWHM_dimless,phi_gradient_FWHM_dimless,gradient_peak_separation_dimless,gradient_peak_separation_over_FWHM,gradient_mean_dimless,gradient_std_dimless,gradient_skewness,gradient_kurtosis_excess,gradient_q05_dimless,gradient_q25_dimless,gradient_q50_dimless,gradient_q75_dimless,gradient_q95_dimless,gradient_q25_q75_width_dimless,gradient_q05_q95_width_dimless,Phi_gradient_integral,phi_gradient_integral,Phi_gradient_fraction,phi_gradient_fraction,sigma_gradient_dimless,sigma_gradient_GeV3,sigma_step_Rpeak_dimless,sigma_step_Rpeak_GeV3,sigma_action_equivalent_dimless,sigma_action_equivalent_GeV3,R_action_equivalent_dimless,R_action_equivalent_m,sigma_thin_Rpeak_dimless,sigma_gradient_over_action_equivalent,sigma_step_Rpeak_over_action_equivalent,field_path_length_dimless,field_straight_distance_dimless,field_path_tortuosity,Phi_midpoint_radius_dimless,phi_midpoint_radius_dimless,midpoint_separation_dimless,midpoint_separation_over_FWHM,hessian_soft_min_m2,hessian_hard_min_m2,hessian_soft_at_Rpeak_m2,hessian_hard_at_Rpeak_m2,hessian_soft_at_gradient_peak_m2,hessian_hard_at_gradient_peak_m2,hessian_mixing_at_Rpeak_sin2_2theta,hessian_mixing_angle_at_Rpeak_deg,hessian_mixing_at_gradient_peak_sin2_2theta,hessian_mixing_angle_at_gradient_peak_deg,field_path_tangent_angle_at_Rpeak_deg,field_path_tangent_angle_at_gradient_peak_deg,hessian_mixing_max_sin2_2theta,hessian_mixing_max_radius_dimless,tachyonic_soft_start_dimless,tachyonic_soft_end_dimless,tachyonic_soft_width_dimless,portal_m2_false,portal_m2_true,portal_xi_false_dimless,portal_xi_true_dimless,portal_xi_false_m,portal_xi_true_m,portal_cross_max_abs_m2,portal_cross_xi_min_dimless,portal_cross_xi_min_m,center_bulk_completion_fraction,center_brane_completion_fraction,center_energy_excess_fraction,DeltaV_dimless,DeltaV_GeV4,S_E,canonical_kinetic_speed_squared,thermodynamic_sound_speed
baseline_zero_bias,baseline,0.0,0.0,0.0,3.0870496668054983,0.7453940198968323,24.97805641873278,2.357142857142857,0.0999999999999999,1e-08,1e-08,2.313019,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.32250175510204,5.999999999999998e-08,-0.0,1.1112244897959171,25.702833551632658,0.0,5.999999999999998e-08,13.32250175510204,1.1112244897959171,25.702833551632658,3.650000240424929,0.0002449489742783178,1.0541463322499003,5.0697962041518645,373285524588257.5,25050931599.44356,107807545399197.3,518488057798611.2,0.27397258469319474,4082.4829046386308,0.9486348995453658,0.19724658738374115,5.286221066773381e-31,7.87703162322247e-27,1.8303633541541445e-30,3.8058153400448205e-31,500.0,5.860202508437851,1.1307089718612953e-29,1.7517900037359464,3.3800276887857536e-30,5.207425309387891,1.0047575163391496e-29,2.6016076518711677,5.019726040180619e-30,9.495868554821097,0.0006372611258004654,2.7424751641732668,13.189620598148892,8.16496580927726,4.866161090045418,5.883828492853869,2.4107826147321227,2.069310140412796,1.017667402808451,0.3911686691406019,5.167940771213211,1.7236542603506053,2.3237963507847845,29.519456402084238,2.7569666937944315,4.186505053513086,5.076286833621253,5.905578549969589,7.889332350432062,1.7190734964565033,5.13236565663763,0.7817131960671262,0.32871531549417554,0.7039743557809136,0.2960256442190864,1.1104285115613017,1.187778260096259e+42,2.3017139082086078,2.462045699175523e+42,1.3874210297311345,1.484065403181996e+42,5.393192413191556,1.0406007368840117e-29,1.5075613061389654,0.8003543897388448,1.658987328925418,3.2315858635327874,2.676843311971679,1.207237588050121,4.459686741254491,7.289131438277886,2.829444697023395,1.0875754824092552,-0.9471483264402736,1.544518459337974,-0.8463892269170182,1.6075405350705982,-0.7956531332746789,2.315295628029626,0.9971936147132312,43.48165792697549,0.5871202589968444,25.008615997031573,42.58622990356773,28.518589809640048,0.9999999975441314,5.913579732488854,3.752239676653194,9.981624234343098,6.2293845576899045,13.878113999999998,25.702833581632657,0.26843230131837004,0.19724658726862937,5.179322915906609e-31,3.805815337823772e-31,1.3052891028775366,0.875279272036795,1.6888258116527907e-30,0.8659239768610854,0.9999998420237867,0.06258786583281382,0.7717623942013745,8.442608226559038e+55,1074.0284052077004,1.0,
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,3.0259219878348103,0.7453940198968323,24.97805641873278,2.3336888938373246,0.1020201340026755,1e-08,1e-08,2.313019,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.32250175510204,5.999999999999998e-08,-0.0,1.1112244897959174,25.193883346940645,0.0,5.999999999999998e-08,13.32250175510204,1.1112244897959174,25.193883346940645,3.650000240424929,0.0002449489742783178,1.0541463322499003,5.019350889003542,373285524588257.5,25050931599.44356,107807545399197.3,513329015418392.25,0.27397258469319474,4082.4829046386308,0.9486348995453658,0.19922894854607848,5.286221066773381e-31,7.87703162322247e-27,1.8303633541541445e-30,3.8440644201490797e-31,500.0,5.88062002583441,1.1346484722574304e-29,1.7548355965133515,3.385904071168597e-30,5.230467936164007,1.0092035239290734e-29,2.5943234399848367,5.005671365924987e-30,9.469281179684684,0.0006354768655704826,2.73479653892996,13.021819664850618,8.16496580927726,4.889787074461436,5.9039543314304765,2.4052279955201454,2.074281676798142,1.0141672569690403,0.3909178174695781,5.196830942143519,1.728216883881004,2.3398638827105644,29.767947012867175,2.784063031032708,4.214861934332682,5.10309636904279,5.93262560074999,7.927704720370996,1.7177636664173077,5.143641689338288,0.771074003110753,0.3276978500133844,0.701759879376559,0.29824012062344085,1.0987718531241375,1.1753096271920444e+42,2.2509197904397307,2.4077133867407386e+42,1.3683656063499026,1.463682625368291e+42,5.426573398324788,1.0470415005479581e-29,1.48285807575152,0.8029811974411555,1.6449695753783449,3.2191103336001627,2.666696519088939,1.2071528614361986,4.483138211975974,7.314298616508048,2.831160404532074,1.0912904539568982,-0.9446089285270393,1.5396794573894628,-0.8434996089251486,1.6018217573777243,-0.7964935653489308,2.296611120862419,0.9973022446490935,43.511361038027374,0.5930618894302879,25.181664550407437,42.64062709387824,28.67086075888372,0.9999999868667432,5.933122213425559,3.78607441976749,10.00489153036616,6.218817110598671,13.878113999999998,25.193883376940644,0.26843230131837004,0.19922894842746106,5.179322915906609e-31,3.844064417860391e-31,1.3012275977469239,0.8766442068011033,1.691459413446904e-30,0.868917075745516,0.9999998381212113,0.06001672865530498,0.7564804744587023,8.27543337804804e+55,1079.068324045336,1.0,
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,3.056333009396208,0.7453940198968323,24.97805641873278,2.345386558097037,0.1010050167084168,1e-08,1e-08,2.313019,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.322501755102039,5.999999999999998e-08,-0.0,1.1112244897959185,25.447086084377947,0.0,5.999999999999998e-08,13.322501755102039,1.1112244897959185,25.447086084377947,3.6500002404249288,0.0002449489742783178,1.054146332249901,5.0445104900652105,373285524588257.44,25050931599.44356,107807545399197.38,515902087818969.06,0.27397258469319474,4082.4829046386308,0.9486348995453653,0.1982352900186105,5.286221066773382e-31,7.87703162322247e-27,1.8303633541541435e-30,3.824892068846257e-31,500.0,5.870411267136131,1.1326787220593628e-29,1.753306809848274,3.382954321913727e-30,5.218800783365973,1.0069523808455675e-29,2.5979569482029214,5.012682113993172e-30,9.482543485554277,0.0006363668896815344,2.7386267882912554,13.105421077947438,8.16496580927726,4.877828242843451,5.893745572732197,2.4080016197256575,2.071787954724565,1.0159173298887456,0.3910447132665088,5.182341776764492,1.7259279008963144,2.331801435450088,29.643307818912106,2.7704639591684224,4.20064419342609,5.089655380180123,5.919060288109701,7.908456002556697,1.7184160946836116,5.137992043388275,0.776384792353739,0.3282075080926167,0.7028700019364693,0.2971299980635308,1.1045923004463556,1.181535512714063e+42,2.276186347581384,2.4347399507814434e+42,1.3778577796318559,1.4738360003473954e+42,5.409846960928816,1.0438141832660604e-29,1.4951609338452136,0.8016736681934525,1.6519748128065503,3.22534999352271,2.6717686239617544,1.2071965980123285,4.471374842917553,7.301672119137389,2.830297276219836,1.0894319392696754,-0.9458813717627192,1.5421034071249229,-0.8449235290531364,1.6046695016602532,-0.7959988346418685,2.306150372482055,0.997251613303793,43.497443916450266,0.5899735588310739,25.091669893751167,42.61411912794498,28.59223164153261,0.9999999989951398,5.923205133547231,3.7691570482103423,9.993874744781031,6.224717696570689,13.878113999999998,25.447086114377946,0.26843230131837004,0.19823528990175907,5.179322915906609e-31,3.8248920665916426e-31,1.3032619482040073,0.8759597327215627,1.6901387406858027e-30,0.8674251159448748,0.9999998400868808,0.061292723005729126,0.764083229849052,8.358602868665038e+55,1076.5372977222746,1.0,
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,3.1180750317540187,0.7453940198968323,24.97805641873278,2.368958084882874,0.0990049833749168,1e-08,1e-08,2.313019,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.322501755102039,5.999999999999998e-08,-0.0,1.1112244897959187,25.961151323664634,0.0,5.999999999999998e-08,13.322501755102039,1.1112244897959187,25.961151323664634,3.6500002404249288,0.0002449489742783178,1.054146332249901,5.095208663407676,373285524588257.44,25050931599.44356,107807545399197.38,521086990006703.0,0.27397258469319474,4082.4829046386308,0.9486348995453653,0.19626281592385264,5.286221066773382e-31,7.87703162322247e-27,1.8303633541541435e-30,3.7868337568255478e-31,500.0,5.849993749739572,1.1287392216632277e-29,1.7502850763470317,3.377123975307942e-30,5.196049835409809,1.0025626518327316e-29,2.6052750765180934,5.026802229008451e-30,9.509254655664115,0.0006381594577059729,2.7463411664136284,13.274420140435085,8.16496580927726,4.854785616067336,5.8739114129755405,2.4135707054929147,2.0668482176876566,1.0191257969082042,0.3911778092431793,5.153627608227755,1.7213958189440246,2.3158487592673205,29.39639501853273,2.7435711261251945,4.17244440686705,5.062990482467251,5.8921799764094,7.870333217451677,1.7197355695423502,5.126762091326482,0.7870590130545377,0.32922126545177444,0.7050729357215704,0.29492706427842963,1.1162802785063122,1.1940376468897957e+42,2.3275050403477002,2.489633378831741e+42,1.3970559024099343,1.4943714176507554e+42,5.37660933174638,1.0374010797144568e-29,1.5200599100400494,0.7990233437192588,1.666007091293006,3.2378176962654615,2.6819203369069853,1.2072758656208198,4.4480735860344955,7.276676119439991,2.828602533405496,1.0857212579586322,-0.9484098296457925,1.5469245743744255,-0.8478965280725561,1.6104351432701824,-0.7952489035665852,2.3246055536011343,0.9971280529495852,43.46400801756068,0.5841918370936786,24.923463935477542,42.556962174218626,28.443569336067057,0.9999999958254575,5.9039543314304765,3.735613983915997,9.969373723905164,6.233759739989168,13.878113999999998,25.961151353664633,0.26843230131837004,0.19626281581045468,5.179322915906609e-31,3.7868337546375673e-31,1.3073090872750233,0.8746027931563618,1.687520565395039e-30,0.8644136951011765,0.9999998439323472,0.06390226202478694,0.7795187354385048,8.52745785233584e+55,1071.5414582206197,1.0,
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,3.1494122068041195,0.7453940198968323,24.97805641873278,2.380832536698396,0.0980198673306755,1e-08,1e-08,2.313019,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.322501755102039,5.999999999999998e-08,-0.0,1.1112244897959174,26.222065232466328,0.0,5.999999999999998e-08,13.322501755102039,1.1112244897959174,26.222065232466328,3.6500002404249288,0.0002449489742783178,1.0541463322499003,5.120748503145446,373285524588257.44,25050931599.44356,107807545399197.3,523698949416684.75,0.27397258469319474,4082.4829046386308,0.9486348995453658,0.19528395104460702,5.286221066773382e-31,7.87703162322247e-27,1.8303633541541445e-30,3.767946844647866e-31,500.0,5.839784991041293,1.1267694714651603e-29,1.748791990622773,3.374243109976502e-30,5.184674361431727,1.0003677873263137e-29,2.608958733188121,5.033909737051151e-30,9.52270000339536,0.0006390617656288896,2.7502242795816043,13.35982152774131,8.16496580927726,4.843118463269303,5.863994333097212,2.416365601311388,2.0644020816044293,1.0208758698279086,0.3912962887613054,5.139401970749803,1.7191524353102674,2.3079587777189627,29.274125735606262,2.7302763927498117,4.158462162649689,5.049766078706297,5.878864163528936,7.851458048720551,1.7204020008792469,5.121181655970739,0.7924220389491801,0.32972535131610714,0.7061657370711732,0.29383426292882675,1.1221473902652872,1.200313447379705e+42,2.3535623318424244,2.51750575785676e+42,1.406762948881525,1.5047546333631187e+42,5.36009730086024,1.0342151315429172e-29,1.5326574675263573,0.7976805126673779,1.6730340628559142,3.2440452447115797,2.6869994523272207,1.207311464802086,4.436535058786082,7.264305701853641,2.8277706430675593,1.083869440745064,-0.949665825710659,1.5493217220643076,-0.8494452274837574,1.6133536319552264,-0.7947859563888092,2.3340829020435856,0.9970547085485797,43.444499363728866,0.5811882140733997,24.83621490319774,42.52631879298451,28.3671712802215,0.9999999998152829,5.894328930372099,3.718696612358849,9.95741489228718,6.23871827992833,13.878113999999998,26.222065262466327,0.26843230131837004,0.1952839509328973,5.179322915906609e-31,3.7679468424924597e-31,1.309321823237494,0.8739302993890179,1.6862230082966935e-30,0.8628943082929105,0.9999998458129754,0.06523601326019857,0.78735302920103,8.613160231028727e+55,1069.0762741754852,1.0,
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,3.0870496668054983,0.7306342293936642,24.97805641873278,2.4047603014916388,0.0923116346386635,1e-08,1e-08,2.2223242277586674,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,12.800118989390329,5.999999999999998e-08,-0.0,1.0676527543233458,25.702833551632654,0.0,5.999999999999998e-08,12.800118989390329,1.0676527543233458,25.702833551632654,3.577725393233853,0.0002449489742783178,1.0332728363425343,5.0697962041518645,365893975966026.1,25050931599.44356,105672812972750.98,518488057798611.2,0.2795071980345911,4082.4829046386308,0.9677985957123292,0.19724658738374115,5.393009815999871e-31,7.87703162322247e-27,1.8673391466439257e-30,3.8058153400448205e-31,500.0,5.937497395724822,1.1456227947895209e-29,1.7811090836566192,3.436597997858332e-30,5.2666361098379095,1.0161820674879411e-29,2.6692267923982,5.150195198462056e-30,9.549760475463186,0.0006538243649141434,2.758039538622773,13.53243586012085,8.16496580927726,4.917496562356765,5.962290095420642,2.47090179919606,2.1011626712894813,1.0447935330638778,0.39142179152381806,5.214465931280645,1.7493493790055423,2.2922364340305896,28.999219273133267,2.758614290880295,4.214179395693316,5.125014804656546,5.970707768741762,7.971933068678965,1.7565283730484458,5.213318777798669,0.7872946031337844,0.32417915395445474,0.7083339558068231,0.29166604419317693,1.1114737570882391,1.1888963148836073e+42,2.3592766619894547,2.5236181343393416e+42,1.3981513518309916,1.495543173413346e+42,5.434903393852751,1.0486487488752079e-29,1.5274457352296718,0.7949595411345667,1.687425799002227,3.256479364001701,2.69715842445834,1.207374151429643,4.502843350278514,7.3860562843186495,2.8832129340401353,1.0801678382111835,-0.9148266365641847,1.4931525120687619,-0.8188635381870851,1.555517048074753,-0.7628601671020465,2.2604456166978917,0.9969446220387967,43.415666842414815,0.5754160157106111,24.668786765955733,42.47321065115344,28.21963824116757,0.9999999989721746,5.994083086795283,3.759531647151965,10.125484317956971,6.365952670805006,13.333945366552003,25.702833581632653,0.27385499351146697,0.19724658726862937,5.283952179239207e-31,3.805815337823772e-31,1.2618293885702445,0.8902247840151465,1.7176627408521663e-30,0.8598284397351382,0.9999998494925202,0.06796191327834562,0.7717623942013745,8.442608226559038e+55,1107.6420205838829,1.0,
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,3.0870496668054983,0.7379772254764829,24.97805641873278,2.380832536698396,0.0960789439152323,1e-08,1e-08,2.267218155133318,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.058698545477938,5.999999999999998e-08,-0.0,1.0892207706439345,25.702833551632647,0.0,5.999999999999998e-08,13.058698545477938,1.0892207706439345,25.702833551632647,3.6136821312171246,0.0002449489742783178,1.0436574009913093,5.069796204151864,369571271559575.3,25050931599.44356,106734842399381.2,518488057798611.06,0.27672605494584274,4082.4829046386308,0.9581688387876695,0.1972465873837412,5.339348471738303e-31,7.87703162322247e-27,1.8487588116881316e-30,3.805815340044821e-31,500.0,5.898704112671361,1.1381377440368641e-29,1.7663675972987072,3.408154730139406e-30,5.236884870202925,1.0104416526250015e-29,2.635179137212855,5.084501241412828e-30,9.522699760702253,0.0006454844266999112,2.750224209490089,13.359821187101915,8.16496580927726,4.891828826201092,5.92291345472728,2.440650411558777,2.085149642670843,1.0310846285261883,0.39127686386312766,5.191054116359112,1.7364300292566035,2.307900622620744,29.257609223915523,2.757716465378067,4.200255705216195,5.10051736107705,5.937948025676028,7.930366910824074,1.737692320459833,5.172650445446007,0.7845373679396244,0.3264445795949991,0.7061657209467613,0.29383427905323867,1.1109819475346234,1.1883702470730186e+42,2.3303211055970934,2.4926456043351537e+42,1.3927654713904882,1.4897821256447575e+42,5.413967362966933,1.0446092028145259e-29,1.517466002893582,0.7976805645716202,1.6731611699639442,3.244041685561753,2.6869971778373287,1.2073111621846846,4.48112321918735,7.337305506695504,2.8561822875081537,1.0838664617423492,-0.9308612170051278,1.5186432268490602,-0.8324731843872168,1.5813035383135903,-0.7791206300547442,2.287667013607845,0.9970786687795089,43.45084555796823,0.5812983915058091,24.839413764613095,42.53127299831556,28.36942191920727,0.9999999997792031,5.953539730822118,3.7560315013125543,10.053938626214084,6.2979071249015295,13.603308930799905,25.702833581632646,0.2711300907974074,0.19724658726862943,5.231375976594332e-31,3.805815337823773e-31,1.2833955839909685,0.8827134208717846,1.7031697848751693e-30,0.8628943401254519,0.9999998458132104,0.06523598523495654,0.7717623942013749,8.442608226559043e+55,1090.6731988897727,1.0,
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,3.0870496668054983,0.7528853543403351,24.97805641873278,2.333688893837325,0.1040810774192387,1e-08,1e-08,2.3597450833073466,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.591634143063905,5.999999999999998e-08,-0.0,1.1336727135603428,25.70283355163266,0.0,5.999999999999998e-08,13.591634143063905,1.1336727135603428,25.70283355163266,3.686683352698453,0.0002449489742783178,1.0647406790201748,5.069796204151865,377037106480470.8,25050931599.44356,108891029243393.28,518488057798611.25,0.2712465119273273,4082.4829046386308,0.9391958245835481,0.19724658738374112,5.2336222883203365e-31,7.87703162322247e-27,1.8121509344808803e-30,3.8058153400448196e-31,500.0,5.822284261844244,1.1233927568399017e-29,1.73737467513602,3.3522137329424244e-30,5.178257427392808,9.991296586303852e-30,2.5685095640092213,4.955864245570159e-30,9.469281450879558,0.000629153783128108,2.734796617252991,13.021820037941712,8.16496580927726,4.841076711529647,5.84532688862036,2.3812956329637873,2.053642256337355,1.0042501770907135,0.3909855704501119,5.14512131367174,1.711021012489944,2.339922768828036,29.784753117412478,2.756360874973211,4.172923056698648,5.052319423742214,5.873594698854918,7.848822346044107,1.7006716421562693,5.092461471070896,0.7788233679176408,0.33099121761327477,0.7017598958163499,0.29824010418365016,1.1098145855309156,1.1871215694722273e+42,2.2736779038494146,2.43205677496194e+42,1.382117862024286,1.4783928297148554e+42,5.3725779038035855,1.036623227458026e-29,1.4978066805472992,0.8029811465611566,1.6450680266293112,3.2191138734707216,2.6666987997416913,1.207153156472917,4.438529999980927,7.241527656804468,2.802997656823541,1.0912934474140341,-0.9636912635369369,1.570782913746252,-0.860414050049551,1.6340967157970476,-0.8124620139195262,2.3433321081826017,0.9973204044403077,43.516384342976636,0.5928834022847925,25.176460512402482,42.644544470316504,28.667195311750127,0.9999999959628213,5.8739114129755405,3.748447851993833,9.909871244635193,6.16142339264136,14.158470499844077,25.70283358163266,0.26576135529315886,0.19724658726862937,5.127787791826596e-31,3.805815337823772e-31,1.3275140513467676,0.8679214798219111,1.67462916630055e-30,0.868917044862602,0.9999998381209672,0.06001675491614644,0.7717623942013747,8.44260822655904e+55,1057.701192972523,1.0,
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,3.0870496668054983,0.7604519779466785,24.97805641873278,2.3104683013659235,0.1083287067674958,1e-08,1e-08,2.407415096111703,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.8662033659072,5.999999999999998e-08,-0.0,1.156574421526031,25.702833551632654,0.0,5.999999999999998e-08,13.8662033659072,1.156574421526031,25.702833551632654,3.723735136379493,0.0002449489742783178,1.0754415007456384,5.0697962041518645,380826392397530.75,25050931599.44356,109985402281256.44,518488057798611.2,0.2685475640386922,4082.4829046386308,0.9298506699868544,0.19724658738374115,5.18154687645749e-31,7.87703162322247e-27,1.7941197314111946e-30,3.8058153400448205e-31,500.0,5.784657694070586,1.1161328203955956e-29,1.7231199789360554,3.324709712627001e-30,5.149672903037626,9.936143580757961e-30,2.535881972569101,4.892910260074864e-30,9.4429528029669,0.0006211616880716785,2.727192714293524,12.85640479870797,8.16496580927726,4.815992333013876,5.8071169632068,2.3521866725685405,2.038144043907672,0.9911246301929246,0.39084020507027645,5.1225912109733445,1.6985292468482929,2.356278807629407,30.05348870630752,2.7558942444594994,4.159505380144037,5.028611404677144,5.841991906396647,7.8088299276719715,1.6824865262526094,5.052935683212472,0.7758691849657873,0.33327214070604094,0.6995223845760398,0.3004776154239601,1.1091413256718283,1.1864014119693413e+42,2.245985673325051,2.4024355710321476e+42,1.3768558025226059,1.472764227950442e+42,5.35212319050886,1.0326765502218903e-29,1.488127090537106,0.8055609916737217,1.6312424795756164,3.2066276966135643,2.656565610367511,1.2070575950013738,4.4176491052381754,7.194487790799024,2.7768386855608487,1.0950188989859155,-0.9804932763163001,1.5974412703234702,-0.8747499504261002,1.661110901260828,-0.8297701311431679,2.3711968427667025,0.9974295571778465,43.5469423640343,0.59890398389319,25.352201035966637,42.699912744480926,28.82176600482327,0.9999999971036023,5.8348264511021295,3.7440726696945705,9.83870161256719,6.094628942872619,14.444490576670216,25.702833581632653,0.2631169856249455,0.19724658726862937,5.076765450798934e-31,3.805815337823772e-31,1.3500745414224233,0.8606392056812633,1.6605782308686633e-30,0.8718732553801489,0.9999998341013838,0.05752180098373745,0.7717623942013746,8.442608226559039e+55,1041.6852438987546,1.0,
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,3.0870496668054983,0.7453940198968323,24.483457763423157,2.357142857142857,0.0999999999999999,1e-08,1e-08,2.267218155133318,0.0,4.2e-05,102270000000000.0,1.9294708164662168e-30,1.093938793855784e+56,1.069657567083e+42,13.047696685901947,5.999999999999998e-08,-0.0,1.1112244897959171,25.19388334694065,0.0,5.999999999999998e-08,13.047696685901947,1.1112244897959171,25.19388334694065,3.612159559861932,0.0002449489742783178,1.0541463322499003,5.019350889003542,369415558187079.8,25050931599.44356,107807545399197.3,513329015418392.25,0.27684269850975884,4082.4829046386308,0.9486348995453658,0.19922894854607848,5.341599075263351e-31,7.87703162322247e-27,1.8303633541541445e-30,3.8440644201490797e-31,500.0,5.85641068377849,1.1299773503591558e-29,1.757313363533222,3.3906848503234395e-30,5.199841660069169,1.0032942733348708e-29,2.601561089809924,5.019636200042295e-30,9.397253761121744,0.0006372497204713235,2.742426080947185,13.058147968934467,8.16496580927726,4.859452477186549,5.875661485895245,2.4127383260356363,2.0756532138401713,1.016209008708696,0.39061508595323524,5.162492360593888,1.7222848734482812,2.321340763185216,29.48632709678145,2.752723440150346,4.1817290565712835,5.070797748287383,5.900324933085797,7.881013212767386,1.718595876514514,5.12828977261704,0.7800995470773088,0.32853848862880436,0.7036557667629075,0.29634423323709236,1.1086380357061132,1.1858630640490772e+42,2.3023684691623605,2.4627458552528218e+42,1.3858011426065586,1.4823326786613732e+42,5.386895577001764,1.0393857807175845e-29,1.506585843579799,0.7999979229493719,1.6613988821165402,3.2277262694358133,2.6760114398176347,1.2061705796204583,4.456199812091199,7.276371211541491,2.8201713994502917,1.0840304348403134,-0.9411512758465217,1.5266253725161283,-0.839552035664543,1.58951257481314,-0.792359973181573,2.28974632664594,0.9972057882569305,43.484957719856105,0.588890476560101,25.060133299988912,42.601456567799495,28.569813427471384,0.9999999908415166,5.910079586649443,3.746697779074128,9.999124963540147,6.252427184466019,13.603308930799905,25.193883376940647,0.2711300907974074,0.19922894842746103,5.231375976594332e-31,3.84406441786039e-31,1.2934944318201296,0.8792608136810578,1.6965080800599405e-30,0.8654608839825929,0.9999998068925213,0.06298968641052713,0.7717623942013745,8.442608226559038e+55,1069.0212440123496,1.0,
