n_fixed,n_fit,fixed,max_pct,rms_pct,cost,z_h_Q,z_h_u0,z_h_u1,z_a_d0,z_a_d1,z_h_d0,z_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
1,6,h_Q,0.9072918714308265,0.3839842924955068,0.00010386914471093063,1.9549696069007172,0.3788396865032152,-0.033141661418613265,0.3159019092442345,0.48292821686961224,0.105238423980163,-0.14942023742412344,-0.9072918714308265,0.4565123532644044,-0.017529854260400768,0.008407686756162214,-0.011749556554974117,0.0024651335728265167,0.001837276712235436
1,6,h_u0,0.37376787091418784,0.18732480231473062,2.45169232460464e-05,1.9218662299655236,0.36788041717478503,-0.03329751593345925,0.3163636113623601,0.4903559341013266,0.09824139553724424,-0.146860500516633,0.0708290235098552,-0.03537715814626585,0.37376787091418784,-0.18023889984206676,0.2507984434202193,-0.05288105278532518,-0.038484149155360026
1,6,h_u1,15.38343008088704,7.8159887190346415,0.04983384188445681,2.1734464360196837,0.3400927747632151,-0.029519572521720966,0.31069129744876584,0.4794310451712175,0.06613622855447635,-0.14316949433417364,-15.38343008088704,-13.55318081344885,2.156803147258435,-1.0434760039163882,1.2038493834391595,-0.2659234644289521,-0.16886611041058153
1,6,a_d0,1.9110145556054725,0.9945754037006036,0.0006921345358860769,1.8952228747281328,0.38872274350499875,-0.033477941424541274,0.3285733869112018,0.4833069285852914,0.11061974549288954,-0.14865225463068746,0.8948319173548214,-0.44788603324584786,-0.6380987554522877,-0.4066471920857406,-0.6911220659635009,1.1048879011426038,1.9110145556054725
1,6,a_d1,0.06907780565565957,0.03954033074393429,1.0939715120593182e-06,1.9228126645410435,0.3744656243980313,-0.033301648590251164,0.316969443381488,0.4879086120301992,0.10302122962810374,-0.1482045055145076,0.04938457976988442,-0.024626636020153025,0.06907780565565957,0.003826043310772853,0.05353223031350218,0.004283162265350526,-0.015110571257059835
1,6,h_d0,0.7279588888769339,0.3788270583859345,0.00010077891777344335,1.92821173464538,0.3922271065062934,-0.033298362213615984,0.3180131971845539,0.4807869880534884,0.1164961864166585,-0.15207904852309762,-0.09290829152002189,0.04619486169197273,-0.7279588888769339,0.40685889296085964,-0.5321174071341583,-0.11129161008671673,0.05301514076490044
1,6,h_d1,0.40284772565712945,0.2546956490401725,4.540281933780834e-05,1.919394794935793,0.3660165610534054,-0.03330844047600878,0.31692433808496046,0.49118223528398924,0.096345491855584,-0.1460540432730433,0.1433688301974767,-0.07148142066711882,0.3588930995538142,-0.3487702191130704,0.40284772565712945,0.12383401865079247,0.018942640189023585
2,5,h_Q+h_u0,0.920726857501597,0.46169989368887276,0.00014979247348896369,1.9549696069007172,0.36788041717478503,-0.033126138998905465,0.31481589234698804,0.486901562425756,0.09717664090668778,-0.14721981758911942,-0.920726857501597,0.4633156692036122,0.5031500413371193,-0.24293159793933317,0.3321591681560765,-0.06865401480364852,-0.05049133844688969
2,5,h_Q+h_u1,19.96277057059378,8.808917090742991,0.06578981472335328,1.9549696069007172,0.33008602682058874,-0.029519572521720966,0.310673394730572,0.5015667159261703,0.06962936201889873,-0.1396079333520877,-11.608443014776704,-19.96277057059378,2.459696509834064,-1.1739093304683146,1.5103810760894953,-0.39028752957993573,-0.22189797700583602
2,5,h_Q+a_d0,2.463759040713498,1.2510638892872972,0.0010968412030694392,1.9549696069007172,0.39803674285305674,-0.033169323751032515,0.3285733869112018,0.47352339516342734,0.11443681446972198,-0.15047533593116025,-0.8846932583245981,0.4403250164301653,-0.7685674171767576,-0.5400928443405006,-0.8553849738242914,1.515047683980919,2.463759040713498
2,5,h_Q+a_d1,0.9205105253818235,0.4789344225585622,0.0001610648180360008,1.9549696069007172,0.3679328905941107,-0.033126263393207775,0.3143775026605404,0.4879086120301992,0.09711370922475691,-0.14732177267124763,-0.9205105253818235,0.4635938640227488,0.5730860870807541,0.04372176237741332,0.442091452615756,0.04158153252780128,-0.12599697475762506
2,5,h_Q+h_d0,0.8889387513806413,0.511182056312631,0.0001837879991858984,1.9549696069007172,0.3933966632815699,-0.03316295330833608,0.3168078746251469,0.47779749185328113,0.1164961864166585,-0.15257473579568714,-0.8889387513806413,0.446981721504236,-0.6723704927043106,0.37391715672419057,-0.48485933258605174,-0.0987955553385822,0.04898618279081113
2,5,h_Q+h_d1,0.9241726913115089,0.524851156791166,0.00019351688973088448,1.9549696069007172,0.3649746073479892,-0.03312211685650603,0.3154305671437227,0.48776746294936074,0.09416238300004255,-0.1460540432730433,-0.9241726913115089,0.46519023752673583,0.5079801175013277,-0.49711782989300124,0.563773647396415,0.18431948078911908,0.02827903760420636
2,5,h_u0+h_u1,15.448354321768731,7.828498187387514,0.050172463914179226,2.1744935272827486,0.36788041717478503,-0.029519572521720966,0.3125238736371359,0.4702252036364156,0.08690055695764516,-0.14881770252821327,-15.448354321768731,-13.757096205130125,0.8238154080596249,-0.40286738996088145,0.48466862666292077,-0.08719891417373615,-0.06970331868818569
