name,design_phase,x,y,z,success,nfev,max_pct,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1,pred_h_Q,pred_h_u0,pred_h_u1,pred_a_d0,pred_a_d1,pred_h_d0,pred_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,baseline,0.0,0.0,0.0,True,4,2.4505841800248618e-09,1.9245016514550197,0.37589251257467554,-0.0332947527568884,0.31708379619690746,0.48708791011140606,0.10402624924007776,-0.1484985634499804,1.9549696069007172,0.3678802406362721,-0.029519192292735863,0.3285733869112018,0.4879086120301992,0.11649649987309763,-0.14605412651957647,-7.326361739501408e-11,-2.4505841800248618e-09,8.79296635503124e-12,-8.97393270804514e-11,-7.995826223350377e-11,4.818367926873179e-12,-1.7289503162487563e-10
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,True,5,8.594902567438112e-10,1.9435749712391202,0.3777395291146316,-0.03354734160295325,0.31740333792230924,0.4880037521601949,0.10409677651670365,-0.14932939665251194,1.9561550536554557,0.3661293780487699,-0.0299932495784431,0.31857338689941267,0.4854902298144357,0.1165032199001525,-0.14574228643080778,3.8191672047105385e-11,8.594902567438112e-10,-1.5787371410169726e-11,-5.518918655411653e-11,6.141753772226366e-11,-9.336975637097567e-12,1.1015632850330803e-10
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,True,5,1.8179902028236938e-09,1.933974556736551,0.376802831815953,-0.03342129436527597,0.31725259438055575,0.4875603455249408,0.10404939646008829,-0.14891008471511114,1.9555586858879375,0.36703542301470476,-0.029772226671674007,0.323573386905337,0.486699420922318,0.11655818966399527,-0.14590438894653315,-4.6074255521944e-12,-1.8179902028236938e-09,1.9761969838327786e-12,9.481304630298837e-12,5.551115123125783e-13,7.993605777301127e-13,1.1657341758564144e-11
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,True,6,1.0113021531310551e-10,1.9151547105189943,0.37500857378254837,-0.03316772206152293,0.3168968875657991,0.4865864829834648,0.10402734890041059,-0.1480947905667178,1.9543877244278904,0.36866413283322125,-0.02923412656388233,0.333573386917009,0.4891178031380803,0.11643593163867694,-0.1462068614202653,-1.3911094498553211e-11,5.426770144367765e-11,-9.658940314238862e-13,-2.723377079405509e-11,-3.4794389591752406e-11,2.3314683517128287e-12,-1.0113021531310551e-10
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,True,5,8.70248317852429e-10,1.905932195546239,0.3741510238370397,-0.03304020822467107,0.31669182114734057,0.4860561182774514,0.10405271255946534,-0.14769872363760858,1.9538129401500246,0.36946855484556146,-0.029002354987711393,0.3385733869227578,0.49032699424596143,0.11637647387532037,-0.14636260016396216,-1.7608137170554983e-11,-8.70248317852429e-10,-3.68594044175552e-12,2.8177460364986473e-11,-2.8754776337791554e-12,-4.163336342344337e-12,-9.137135492665038e-12
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,True,6,1.4533929615367924e-09,1.9179863027554274,0.37169353270250416,-0.03430481243439486,0.32511278287884254,0.500752663102182,0.09495699824780637,-0.14798678451239214,1.9921201012344443,0.3863353931078492,-0.029682244396868646,0.348573386911202,0.502620437176091,0.1210807559897041,-0.15262851694770832,1.652011860642233e-11,-1.4533929615367924e-09,-8.537615059367454e-12,8.881784197001252e-11,-5.937472735695337e-11,1.5543122344752192e-13,-1.4565015860057429e-10
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,True,6,2.5818236437658015e-09,1.9209993976791067,0.37367336921183447,-0.03379532440494282,0.321106232323274,0.4939029499313751,0.0994028003617511,-0.14822493236408257,1.9734436123529002,0.3770163495341975,-0.029582007629980006,0.33857338691120153,0.4951637586774884,0.11880290695183857,-0.14929036524656192,9.14823772291129e-12,2.5818236437658015e-09,5.839773109528323e-12,-8.657519146026971e-11,1.4432899320127035e-11,5.573319583618286e-12,7.684963776455334e-11
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,True,6,1.129618620865358e-09,1.9282528504350989,0.37825046434152443,-0.03281003680709364,0.31313946788821884,0.48046671270870683,0.10870890085360067,-0.14878182705821272,1.9366963535525994,0.35895654295819396,-0.029406585827013804,0.31857338691120207,0.4806534653829099,0.11433446518555902,-0.14286524718232999,3.6415315207705135e-12,-1.129618620865358e-09,2.7977620220553945e-12,5.040412531798211e-12,-2.2293278334473143e-11,-6.3504757008558954e-12,-4.7883919052083e-11
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,True,5,2.8227420401094605e-10,1.932493718494151,0.3808476963871477,-0.03233417671137817,0.3091867330030659,0.4738873703797898,0.11357018503799113,-0.1490993711061682,1.9186221378522,0.35021119448835003,-0.029329906794636568,0.3085733869112021,0.4733983187356212,0.11208417160947821,-0.13970450715505275,-2.2315482794965646e-11,-2.8227420401094605e-10,-2.1538326677728037e-12,-4.055644708955697e-11,-2.3803181647963356e-11,1.199040866595169e-12,-5.2102766545658596e-11
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,True,5,2.6491697724395635e-09,1.924906155059661,0.37564143611959894,-0.03337954498514378,0.31770095864159464,0.48815191038571465,0.10334165291541092,-0.14849718501108444,1.9485623373293295,0.3688806347324944,-0.02969028007027022,0.3289948108505092,0.4907300579485891,0.1173255740197522,-0.14706547098302478,-6.716849298982197e-12,2.6491697724395635e-09,1.0056400157054668e-10,-3.266165116144748e-10,6.439293542825908e-12,-4.11448652926083e-11,1.7932322293745528e-10
