coordinate,amplitude,dln_amplitude_dfraction
x,c_d0_fit_abs,-0.36651648271550097
x,c_d1_fit_abs,-0.624435255408063
x,a_d0_fit_abs,-0.09895364376301119
x,a_d1_fit_abs,-0.2693098655772608
x,c_d0_pred_abs,0.006194959426797375
x,c_d1_pred_abs,-0.017397615349648565
x,a_d0_pred_abs,-0.01739761534964579
x,a_d1_pred_abs,0.2304358888666147
y,c_d0_fit_abs,-0.35898533057148185
y,c_d1_fit_abs,-0.5014392809949201
y,a_d0_fit_abs,-0.33326494316223143
y,a_d1_fit_abs,-0.07765433997512505
y,c_d0_pred_abs,-0.012391682644136148
y,c_d1_pred_abs,0.034800374315361454
y,a_d0_pred_abs,1.03480037431537
y,a_d1_pred_abs,-1.4626531652113306
z,c_d0_fit_abs,-0.06576818833889941
z,c_d1_fit_abs,-0.03975887115675661
z,a_d0_fit_abs,0.05568756945911746
z,a_d1_fit_abs,0.026296050445240304
z,c_d0_pred_abs,-0.0009470602775951686
z,c_d1_pred_abs,0.002659672403518276
z,a_d0_pred_abs,0.0026596724035155006
z,a_d1_pred_abs,-0.2864802709369396
