name,design_phase,x,y,z,c_d0_fit,c_d0_pred,c_d1_fit,c_d1_pred,a_d0_fit,a_d0_pred,a_d1_fit,a_d1_pred,Z_F_pred,c_d0_relative_error_pct,c_d1_relative_error_pct,a_d0_relative_error_pct,a_d1_relative_error_pct
baseline_zero_bias,baseline,0.0,0.0,0.0,3.5415046998816604,3.541043552375122,-0.8743078435612065,-0.8747502554733684,0.261346524725486,0.26134650827227357,0.241871507376239,0.24192696632147487,0.9916896744856013,-0.013021230963039532,0.0506013889066681,-6.295554311197549e-06,0.022929093979473514
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,3.580977593175158,3.5403999734694453,-0.8909474894953802,-0.875196852591747,0.2621321686402539,0.26147993675287406,0.2438423261966472,0.24015086893242396,0.992195974138765,-1.1331436360575986,-1.7678524367978343,-0.24881794964850545,-1.513870590803934
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,3.6078059759954884,3.539986863152111,-0.9023136242105089,-0.8754836413562934,0.2626638081687333,0.2615656197712637,0.2451744054433646,0.23902941504743966,0.9925211017449357,-1.8797882506601304,-2.973465337807646,-0.41809657947399215,-2.50637515967973
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,3.6487724903030974,3.539390722584088,-0.919780730184059,-0.8758976587431215,0.263490762675599,0.2616893145032565,0.2472044417015441,0.23744143911843546,0.9929904663035694,-2.9977689211837633,-4.771036182955912,-0.6836855129378483,-3.9493637395462966
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,3.5030197444644124,3.541716259935191,-0.8581700212978556,-0.8742836887734826,0.2605806946134432,0.2612071135397448,0.2399343431012692,0.24349580830874962,0.9911607356532426,1.1046616431987788,1.8776777416737778,0.2403934517216877,1.4843499106658609
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,3.477754295518569,3.5421811365457785,-0.8476453529262119,-0.8739614118467695,0.2600771791134195,0.2611108278296621,0.2386607204777858,0.24470395068028714,0.9907953757135951,1.8525414837451182,3.1046072310442208,0.3974392216057776,2.532142780095148
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,3.4404236835406525,3.542903361098096,-0.832200354121708,-0.8734609634163414,0.2593322829367687,0.2609613103541949,0.2367772092737063,0.2463598905081913,0.9902280257323145,2.978693526838483,4.95801390738162,0.6281622168202716,4.047129900668667
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,3.5798261871252244,3.5424185274859896,-0.8891631730100864,-0.8737968857803529,0.2643784212652939,0.2533461344179973,0.2428992873344007,0.2526434538302593,0.990608855275072,-1.044957427647486,-1.7281740513064636,-4.172915018743561,4.011607692551111
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,3.606339103998491,3.5434015828890866,-0.9011879854756945,-0.8731158994434831,0.2668633721018257,0.24813601127812757,0.2441134705205962,0.2601266787554396,0.9898368325011272,-1.745191433595994,-3.1150089087565225,-7.017583820589824,6.55973969838437
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,3.647588398038074,3.5449778034134143,-0.9224641964689384,-0.8720251207373857,0.2713060483827583,0.24050165068973767,0.246740480564957,0.27175577011558244,0.9886002350000493,-2.8131078243326613,-5.467862701297932,-11.354113878641513,10.138299760683122
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,3.5034277935856997,3.539785045523675,-0.8627779823339189,-0.8756237810258087,0.2591439681429285,0.26957462303227764,0.2417631597340246,0.23156555301207166,0.9926799757348255,1.0377622739803583,1.4888880980875818,4.025042513664134,-4.218015157136357
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,3.477875571819516,3.5390087574366538,-0.8567894091721332,-0.8761630350117022,0.2581312236659645,0.2751897633022593,0.2421827990915575,0.22480195851893192,0.993291318922655,1.7577738005490229,2.2611887626258875,6.60847587286435,-7.176744441728378
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,3.438164519192483,3.5379349956231705,-0.8498731114101944,-0.8769094786341269,0.2572457871105886,0.28381212608859113,0.2434955557102598,0.21507613380545884,0.9941375495219746,2.901852889056067,3.1812239804917652,10.32722023415753,-11.671433518325813
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,3.5487229118655463,3.5411452515898523,-0.8754103255105219,-0.8746797044428651,0.2609131657693073,0.26132542995264846,0.2416824076194258,0.2440057840802127,0.9916096919671207,-0.21353203571790047,-0.08346041237641266,0.15800819484352857,0.9613345396846107
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,3.553462682297045,3.54121429069131,-0.8761243723064648,-0.8746318137093873,0.2606131816819469,0.26131112178195093,0.2415556517677253,0.2453912341668676,0.9915553990468312,-0.3446889049026791,-0.17035921431431955,0.26780690658072537,1.5878669660896572
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,3.560658323413201,3.5413197608078586,-0.8772268294413057,-0.8745586567358096,0.2601783281787398,0.2612892648925351,0.2413703675164203,0.2475686549564491,0.99147246221445,-0.5431176161492801,-0.3041599522435323,0.42699048824392793,2.5679570793242235
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,3.53475250098933,3.5409440243414294,-0.8733222869488969,-0.8748193058164527,0.2617783506259016,0.26136713823602287,0.2420624898074301,0.23984739862284707,0.991767955699957,0.17516143917759575,0.17141654231520587,-0.15708418549339465,-0.9150906389276625
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,3.530427310647949,3.5408788462235377,-0.872713838426417,-0.8748645279030284,0.2620757749470528,0.2613806491030954,0.2421926720653794,0.2384606149191682,0.9918192232200694,0.29604165886849554,0.24643696271497983,-0.26523849604102034,-1.5409455267101246
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,3.5238046138494075,3.5407827931905214,-0.871761464690778,-0.874931175981252,0.262504203637793,0.2614005613493826,0.2423862818725827,0.23647979717842565,0.991894781027095,0.4818138688616802,0.363598463439585,-0.4204284248084611,-2.4368065092322255
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,3.5545095927480457,3.540825812884302,-0.8797883199407721,-0.8749013253859828,0.2616079291281125,0.2613916429766304,0.2425250206747783,0.2413690725444751,0.9918609399085352,-0.38496955787267195,-0.5554739070778192,-0.08267568655235813,-0.4766304635649532
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,3.5677331643696926,3.5406112926365427,-0.8853539624862123,-0.8750501872685347,0.2618751935429284,0.26143611799447264,0.2431830656628753,0.24081036403367412,0.9920297021248677,-0.7601989970553613,-1.1638029143443474,-0.1676659566396732,-0.975685384479219
