sector,generation,operator,near_zero_count_abs_lt_1e3,below_threshold_count,asymptotic_threshold,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3
QL,1,desired,1,1,0.9999705749333799,-0.00035985570290954943,1.0082580998438573,1.0206761799262967,1.0541410236766495
QL,1,opposite,0,0,0.9999705749333799,1.0076189455693165,1.0189128832355456,1.0496425398016351,1.0757161587961317
QL,2,desired,1,2,1.0,0.00012733030465424111,0.8767586729458219,1.0164001972587917,1.024831014675952
QL,2,opposite,0,1,1.0,0.8768745706669897,1.0151465808898341,1.0225673060070195,1.0613537737576881
QL,3,desired,1,1,1.0,-0.0001862363232709277,1.0212088555464482,1.0213246588138856,1.0783572140181417
QL,3,opposite,0,0,1.0,1.0194397898353438,1.019502589258459,1.0723615866761564,1.0777465731737244
uR,1,desired,1,1,1.0,-0.00024098705068773162,1.021413660620707,1.0215650612451042,1.0797109423790319
uR,1,opposite,0,0,1.0,1.0195697535673072,1.0197630595754454,1.0735594366397765,1.0781156991726648
uR,2,desired,1,1,1.0,-0.00023019194946599444,1.0213915510680547,1.0215025876155996,1.0794550186160954
uR,2,opposite,0,0,1.0,1.0195514572661764,1.01970718424046,1.073333110192851,1.0780451246935048
uR,3,desired,1,1,1.0,-0.0002193699943429126,1.0213660807224951,1.0214417735387589,1.079193318572581
uR,3,opposite,0,0,1.0,1.0195320935705554,1.0196508820951617,1.073101616761374,1.0779733342037503
dR,1,desired,1,1,1.0396031813018762,-0.000387943590452103,1.0611752298396517,1.061977020532359,1.1223582002779577
dR,1,opposite,0,0,1.0396031813018762,1.0593437843992413,1.0601121077292561,1.1159727690349348,1.1184081229949607
dR,2,desired,1,1,1.6865634827833986,-0.00039986666105830155,1.7065061245867283,1.7091379923376966,1.7661033986142742
dR,2,opposite,0,0,1.6865634827833986,1.7052116461085798,1.7076478372177553,1.7610113280306943,1.7628787038343985
dR,3,desired,1,2,2.736136665045941,-0.00030409594325889026,2.730898504319518,2.7469782111668737,2.7753255566255044
dR,3,opposite,0,1,2.736136665045941,2.7311241890159397,2.7465187470188965,2.7732075265684557,2.777340379484675
