name,nfev,cost,max_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,8,1.8947438551170606e-21,4.352829208187359e-09,2.9824971528912543,3.2003794831599714,-0.030975548640329302,0.2534120313266561,0.23371071234715174,2.900249852109871,-0.6847396429583091,1.4810375148499588e-11,4.352829208187359e-09,7.283063041541027e-12,-2.353672812205332e-12,2.375877272697835e-12,-5.306866057708248e-12,-2.1538326677728037e-12
axis_x_m1p0pct,8,1.6535524172854742e-22,1.2848833108591862e-09,2.988189072070481,3.2042706300017074,-0.03101743988043141,0.2538445204191766,0.23384130402449885,2.902851049077675,-0.6855280910188191,1.9695356456850277e-11,-1.2848833108591862e-09,2.4424906541753444e-13,1.9695356456850277e-11,-2.091660178393795e-11,-1.3988810110276972e-12,3.75699471533153e-11
axis_x_p1p0pct,8,1.9749352785923463e-23,4.3817172112881053e-10,2.97685837626924,3.196481086806876,-0.030934663065133816,0.2529898662242692,0.23358721307398356,2.897632331522854,-0.6839617850215428,-5.695444116327053e-12,-4.3817172112881053e-10,6.439293542825908e-13,2.1049828546892968e-11,1.4654943925052066e-11,6.505906924303417e-12,-6.903366767119223e-11
axis_y_m1p0pct,11,1.9549525479315132e-23,4.368505557295066e-10,2.918643147624472,3.1082887085700386,-0.03072210117537433,0.2511474815725695,0.23461187785976867,2.8282213045492384,-0.6730752905050532,-3.419486915845482e-12,-4.368505557295066e-10,-5.295763827461997e-12,2.573496971081113e-11,2.937650123158164e-11,7.771561172376096e-12,-5.505595979116151e-11
axis_y_p1p0pct,11,5.9738856831933605e-24,2.248645714075792e-10,3.048880394753096,3.283691444650823,-0.031257764928958605,0.2557269236494403,0.23315975958879925,2.965230742096409,-0.6957770924630464,-2.80109269112927e-11,2.248645714075792e-10,-9.636735853746359e-12,-4.517497487199762e-11,3.623767952376511e-11,6.23945339839338e-12,-7.003286839335487e-11
axis_z_m1p0pct,8,2.8354971122611142e-22,1.5254242313744726e-09,2.982832851493917,3.198892986468819,-0.030960581596219682,0.25323852742886865,0.23364249031408285,2.8992532812688068,-0.6843939861813749,5.079048293055166e-10,1.5254242313744726e-09,1.8387513733841843e-10,-6.290523657526137e-11,4.426015109970649e-10,-1.2790879466706429e-10,-2.4169555246089658e-11
axis_z_p1p0pct,6,6.379009894223774e-23,7.593148332318833e-10,2.9816030756847387,3.201240628626946,-0.030990868512689094,0.2535358691169615,0.23380595488197367,2.9008950199124928,-0.685098342856565,-7.684963776455334e-11,-7.593148332318833e-10,-8.915090887740007e-12,-5.972999872483342e-12,-1.3825607325657074e-10,5.329070518200751e-12,1.9020340857878182e-10
validation_08,6,6.495119090942165e-24,2.4700241851860483e-10,2.9737220499770753,3.192241004414589,-0.03095103480935771,0.25316885233464376,0.23381281082838484,2.8940328687210135,-0.6838125753115937,4.3298697960381105e-12,-2.4700241851860483e-10,-5.617728504603292e-12,1.7319479184152442e-11,-1.688649220454863e-11,2.020605904817785e-12,5.74651437545981e-11
validation_07,9,3.503372796024156e-23,5.893618926222643e-10,2.9436820866078395,3.1404788027360824,-0.030820341954054413,0.252090592632798,0.23432789956816052,2.853134338397117,-0.6771751883366872,1.809663530139005e-11,-5.893618926222643e-10,-1.6320278461989801e-12,4.3853809472693683e-11,-1.5165646516379638e-11,5.8619775700208265e-12,2.1738166822160565e-11
validation_06,8,1.9844246140458074e-24,1.3369305662536135e-10,2.908207186057325,3.0964648049248815,-0.030683459544929407,0.2507361775414633,0.23471635475894498,2.819216355209098,-0.6716050187416089,-1.1324274851176597e-11,-2.1649348980190553e-11,1.7319479184152442e-12,9.237055564881302e-12,3.561595462997502e-11,4.019007349143067e-12,-1.3369305662536135e-10
