N_eff,threshold_ratio_kAdj_over_k0,threshold_mismatch_pct,max_error_pct,rms_error_pct,h_d0,h_d1,a_d0,a_d1,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
19.5,0.9285714285714286,-7.14285714285714,3.2326577445050297,2.01018834773595,2.557047681688993,-0.6240065285880255,0.2700703199470556,0.2394403027724902,3.2326577445050297,0.20006047008984673,-2.990263443624086,-1.5469241266696798,-1.2549108839158052,1.040486140897423,1.9503429485338009
19.51,0.9290476190476191,-7.095238095238088,3.2056350725077953,1.9956235433116352,2.557927148538856,-0.6242577048320767,0.27000390067136587,0.23945078022121574,3.2056350725077953,0.19931536353632318,-2.969419331453238,-1.5382033211523871,-1.2426118501482453,1.0336618308283363,1.9405434394136778
19.52,0.9295238095238095,-7.0476190476190474,3.1786611988008584,1.9810681882940309,2.5588030181173065,-0.6245087661332429,0.26993777650889655,0.23946157099928558,3.1786611988008584,0.19841461944503092,-2.9485129640093755,-1.5293697757049807,-1.2304033206866682,1.0268661896612352,1.9308328969450228
19.53,0.93,-6.999999999999995,3.1516584708614293,1.9665193622202501,2.559682194166886,-0.6247600651684297,0.2698715574232565,0.23947213793449215,3.1516584708614293,0.19764881880215412,-2.9277040907817686,-1.5206599438783774,-1.2181076590126572,1.0200404611819147,1.9210012810754407
19.54,0.9304761904761905,-6.952380952380954,3.12467260339635,1.951978495500879,2.5605640320503054,-0.6250118037705754,0.2698052963750975,0.23948261433303475,3.12467260339635,0.19706543425010992,-2.9069184609149756,-1.5120193816059668,-1.2057652807127561,1.0131660001808873,1.9111184839349926
19.55,0.930952380952381,-6.904761904761902,3.0977741428507732,1.9374487049152682,2.5614388806866732,-0.6252632546458116,0.26973954557436897,0.23949366749613907,3.0977741428507732,0.1961847819176521,-2.885988901917891,-1.503149612509802,-1.1935952575101605,1.0063711342665815,1.9014247506164095
19.56,0.9314285714285714,-6.857142857142861,3.0708427432044827,1.9229257650616483,2.562315498370802,-0.6255147353551407,0.269673732233086,0.23950456085481925,3.0708427432044827,0.19533269410232368,-2.8651453875622845,-1.4943875872424073,-1.1813865481688612,0.9995286322998398,1.89163697757615
19.57,0.9319047619047619,-6.80952380952381,3.0439461485680663,1.9084120935394915,2.5631891061035508,-0.6257660834740119,0.2696081882796201,0.2395157058493,3.0439461485680663,0.19433555037255967,-2.8442656726209825,-1.4855361709228743,-1.1692436665668549,0.9927263824420551,1.8819089287423152
19.58,0.9323809523809523,-6.761904761904769,3.017072074975813,1.893906913805123,2.5640641587538737,-0.6260177597372966,0.26954266737716026,0.23952683736841332,3.017072074975813,0.19345408495665684,-2.823393645757144,-1.4767186819624412,-1.1570799543350718,0.98589151970645,1.8721563889309012
19.59,0.9328571428571428,-6.714285714285717,2.9902369007965612,1.8794110615429214,2.5649377184028666,-0.626269510303549,0.26947733859575396,0.23953814757246925,2.9902369007965612,0.19253252147994893,-2.802487092140571,-1.4678470060781823,-1.144956911430961,0.9790701323720841,1.8624453508848449
19.6,0.9333333333333333,-6.666666666666665,2.963417028198334,1.8649239592327023,2.5658101239749658,-0.6265212318802884,0.2694121528504037,0.23954956237475658,2.963417028198334,0.1915466090707474,-2.7815796113946467,-1.4589591412419223,-1.132864599692085,0.9722507244596335,1.8527434919036523
19.61,0.9338095238095238,-6.619047619047624,2.9366066204634445,1.8504448794359336,2.5666865575472784,-0.6267735158797852,0.26934688479684044,0.23956080938226984,2.9366066204634445,0.19081577360424706,-2.7607246683626685,-1.450161521780069,-1.120676381674779,0.9653990565974491,1.842952694815625
19.62,0.9342857142857144,-6.571428571428561,2.9097622773294196,1.8359733296572915,2.5675631672879162,-0.6270256326547151,0.2692816328584532,0.23957197665860397,2.9097622773294196,0.1900094445942635,-2.739944337703659,-1.4414388107386156,-1.1084831685894692,0.9585219540402035,1.8330920000493078
19.63,0.9347619047619047,-6.523809523809532,2.8830320847654134,1.8215136603820188,2.568435031083394,-0.6272778881105129,0.2692168028615079,0.23958366174860643,2.8830320847654134,0.18910210710583186,-2.7190000975825357,-1.4325057408848374,-1.0964222087653686,0.9516938610841352,1.8234180548048817
19.64,0.9352380952380953,-6.476190476190469,2.856291030958835,1.8070621589248204,2.5693076155478574,-0.6275301821357098,0.2691520049384353,0.23959529671170932,2.856291030958835,0.18819906629603533,-2.698107226903146,-1.4236237849842626,-1.0843410614705729,0.9448519921715359,1.8136896282699766
19.65,0.9357142857142856,-6.4285714285714395,2.829534761877217,1.7926188960054712,2.5701801521999155,-0.6277823946736171,0.26908724948322504,0.23960690987367286,2.829534761877217,0.18724273914614287,-2.677267251914195,-1.4147826661521479,-1.0722605052776002,0.9379861824462488,1.803917994788451
19.66,0.9361904761904762,-6.380952380952376,2.802837193793861,1.7781859439498866,2.5710516030013575,-0.628034850990853,0.2690227040410566,0.23961872277030802,2.802837193793861,0.18631104521986686,-2.6563622951507826,-1.4058791649296243,-1.0602170461587623,0.9311439901331875,1.7942024505425147
19.67,0.9366666666666668,-6.333333333333324,2.7761297471259994,1.7637619117847527,2.5719197898656,-0.6282868649312611,0.2689583471947801,0.2396306874251126,2.7761297471259994,0.18513142565088625,-2.635478160942828,-1.3969432259563486,-1.0482479459576366,0.9243061221974491,1.7845059471766511
19.68,0.9371428571428572,-6.285714285714283,2.749476430559361,1.749347310300633,2.572794353785074,-0.6285400071708735,0.2688938641873528,0.23964247474795966,2.749476430559361,0.1844433193206818,-2.61460462098545,-1.3880898943454456,-1.0361373933473028,0.917426072533023,1.7747309454761329
19.69,0.9376190476190477,-6.238095238095232,2.7228372903760567,1.7349426889921007,2.573663397796978,-0.6287925779084743,0.2688297182802744,0.23965457950596536,2.7228372903760567,0.18341044088212577,-2.5936944881780333,-1.3791350482969977,-1.0241567597524814,0.9105911173689973,1.765039038633054
19.7,0.9380952380952381,-6.190476190476191,2.6961712293875673,1.7205459950285493,2.5745371901317498,-0.6290455833133073,0.2687653999403596,0.23966639342119114,2.6961712293875673,0.18260691506668536,-2.5728868161200236,-1.3703384224378556,-1.0120666883124296,0.9036962039036922,1.755205199496257
19.71,0.9385714285714286,-6.142857142857139,2.6696007676040967,1.7061614348082597,2.575404449070883,-0.629298389808763,0.26870154516957606,0.2396787695407531,2.6696007676040967,0.1815531485092059,-2.55193131784055,-1.3613120164843062,-1.000143567372913,0.8968555461404071,1.7455707387736163
19.72,0.939047619047619,-6.0952380952380985,2.6430255079330056,1.691785908726882,2.5762732765728273,-0.6295513763903536,0.2686376930639851,0.23969106173614071,2.6430255079330056,0.18056933939434305,-2.5310174485828285,-1.352357980273522,-0.9881893967248367,0.8899935231892808,1.7358743093598639
19.73,0.9395238095238095,-6.047619047619046,2.616443738146357,1.677419589683225,2.5771421106510455,-0.629804340538313,0.2685738986483592,0.23970335386366037,2.616443738146357,0.17955257342505693,-2.5101507050361627,-1.34342646564648,-0.9762287591358332,0.8831178988888855,1.726142332882108
19.74,0.94,-6.000000000000005,2.589902829539392,1.6630638383999043,2.5780100621691706,-0.6300574635816227,0.26851027806176875,0.2397157938385872,2.589902829539392,0.17853878495610598,-2.489246900609454,-1.3344561113626585,-0.964296201747572,0.8762585971766379,1.7164431277460146
19.75,0.9404761904761905,-5.952380952380953,2.563362666685798,1.648717616985087,2.57887888805097,-0.6303107160538194,0.268446674126701,0.2397282031745293,2.563362666685798,0.17756141049720675,-2.4683818074765274,-1.325526300286639,-0.9523475940898196,0.8693666577556769,1.7067041930645122
19.76,0.940952380952381,-5.9047619047619015,2.536874414757939,1.6343824817529575,2.5797462321520794,-0.630564121377042,0.2683832883637452,0.23974081743284104,2.536874414757939,0.17657051113817435,-2.4474615798551036,-1.3165287227148492,-0.9404395459670201,0.8625033840840457,1.697020637822222
19.77,0.9414285714285714,-5.857142857142861,2.5103951284407566,1.620057489817492,2.5806126454609775,-0.6308174830208297,0.2683200194334277,0.23975351042492155,2.5103951284407566,0.17551723193269808,-2.426555223579563,-1.3075222169462108,-0.9285533958493741,0.8556362506571658,1.6873365074343116
19.78,0.9419047619047619,-5.809523809523808,2.4839179326100913,1.6057425210296818,2.5814795696742503,-0.6310709374145345,0.2682567986049869,0.23976618721484186,2.4839179326100913,0.17447982922693672,-2.405672202714537,-1.2985599625301325,-0.9166647427472752,0.8487502522645851,1.6776185012199463
19.79,0.9423809523809523,-5.761904761904768,2.4574848324126153,1.5914389943914011,2.582342884297518,-0.6313242307398592,0.2681938500377951,0.23977915692621807,2.4574848324126153,0.1732784329847803,-2.3847354370665763,-1.2894896633726227,-0.9048646980142627,0.8418877033686378,1.6679891095775057
19.8,0.9428571428571428,-5.714285714285716,2.4310415054962453,1.577144920858927,2.5832117398395584,-0.6315781675890291,0.2681307354753181,0.23979184341271245,2.4310415054962453,0.17238858351840136,-2.3638868918964717,-1.2805668410052373,-0.8929333891106395,0.834978681239118,1.6582189171187034
19.81,0.9433333333333332,-5.666666666666675,2.4046343966853456,1.562862405022679,2.5840770097675945,-0.6318318975536646,0.2680678854861572,0.23980479934096452,2.4046343966853456,0.1713208850236736,-2.3429903237367933,-1.2715528759434713,-0.8810921945544226,0.8280933603788343,1.6485273457279126
19.82,0.9438095238095239,-5.619047619047612,2.3782711290680103,1.5485913814810615,2.5849421158801578,-0.6320858943140887,0.2680051670140919,0.23981787513544026,2.3782711290680103,0.1703078544494474,-2.3220607904656854,-1.2625093135612775,-0.8692652609577523,0.8212069157419011,1.6388622776545292
19.83,0.9442857142857142,-5.571428571428583,2.3518975193061786,1.534330861839083,2.5858068503338916,-0.6323397969415636,0.26794251841831523,0.2398309551128904,2.3518975193061786,0.16923017112067118,-2.301174313252452,-1.2534939331817818,-0.8574447289704801,0.8143100723568164,1.6291638792121255
19.84,0.9447619047619048,-5.52380952380952,2.325550929538389,1.5200817904843023,2.5866713053192516,-0.6325938479338049,0.26787998847155,0.2398441210935868,2.325550929538389,0.16816685907437012,-2.280277104855233,-1.2444665761933926,-0.8456366741472987,0.8074134312924031,1.6194736064790272
19.85,0.9452380952380953,-5.476190476190467,2.2992263601024465,1.5058441094961132,2.5875365987212295,-0.6328481569619717,0.2678175222015173,0.23985730656739168,2.2992263601024465,0.16717910901222766,-2.259383797319703,-1.235457502455961,-0.8338162270146277,0.8005050912660794,1.6097659394171515
19.86,0.9457142857142857,-5.428571428571427,2.2729365338932217,1.4916186904339537,2.588397572901458,-0.6331021541935705,0.26775534855213445,0.2398707989371212,2.2729365338932217,0.16596438779417078,-2.2384496341007476,-1.2263293144307075,-0.8220917964512076,0.7936306953464811,1.6001483069436162
19.87,0.9461904761904762,-5.380952380952375,2.2466573773558096,1.4774045049604096,2.589262183918776,-0.633356691432411,0.267693106248135,0.23988414498021923,2.2466573773558096,0.16498065171148824,-2.217550856821948,-1.2172981364853008,-0.8102950191614222,0.7867173341196132,1.5904501798894355
19.88,0.9466666666666667,-5.333333333333334,2.2203957613667225,1.463202656816838,2.5901220603274986,-0.6336107562447265,0.26763115894661743,0.23989776943501978,2.2203957613667225,0.16370998450503382,-2.196621371765728,-1.2081738177048718,-0.7986070903718612,0.7798423130017218,1.5808286009759032
19.89,0.9471428571428572,-5.285714285714283,2.1941397834807974,1.4490123847500944,2.5909844051480277,-0.6338651831827723,0.26756915833508726,0.2399112949543565,2.1941397834807974,0.16258619404541097,-2.1757321520494255,-1.1991230198765468,-0.7868745161708879,0.7729140171276017,1.5711462636673224
19.9,0.9476190476190476,-5.238095238095242,2.167938079135423,1.4348350560307948,2.5918468837246262,-0.6341199802476842,0.26750731832239943,0.23992495594428254,2.167938079135423,0.16155647438882426,-2.1548020308005733,-1.1900258065554392,-0.7751384339442224,0.7660125663352169,1.5614920431916257
19.91,0.9480952380952381,-5.19047619047619,2.141727957336026,1.4206698806075342,2.592707193893418,-0.6343744661175958,0.26744561564086833,0.23993870563776426,2.141727957336026,0.1603518504314838,-2.133892623825695,-1.1809274971849693,-0.7634573976581405,0.7591068526103584,1.5518412010067983
19.92,0.9485714285714286,-5.142857142857138,2.1155595808060035,1.4065180407748439,2.5935646781648005,-0.634628868080444,0.2673841592444466,0.23995270426912413,2.1155595808060035,0.1590291347207451,-2.1129427909197696,-1.1717328124556614,-0.7518380439259675,0.7522327554313257,1.5422609388240138
19.93,0.949047619047619,-5.095238095238097,2.0920628159278865,1.392378211251262,2.594428228834712,-0.6348840785797732,0.26732251679148855,0.23996642980745325,2.0893947612365515,0.15807713122444333,-2.0920628159278865,-1.162685461955093,-0.7400879509364966,0.7452923480732121,1.5325487157099582
