name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,chi_lowest_dimension,radial_driver_lambda_epsilon,radial_chi_weight,two_u_identity,radial_chi_weight_minus_2u
baseline_zero_bias,baseline,0.0,0.0,0.0,0.8659239768610854,0.0625878658328138,0.0625878640071892,1.825624595941377e-09,0.1340760231389146,1.0718550298948737,0.25017566629708254,0.06708511684648207,0.26815204627782935,0.2681520462778292,1.6653345369377348e-16
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.868917075745516,0.0600167286553049,0.060016726869239,1.7860658091395363e-09,0.1310829242544839,1.0701384378984256,0.24498311547786106,0.06422620633962389,0.26216584850896785,0.2621658485089678,5.551115123125783e-17
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.8674251159448748,0.0612927230057291,0.0612927211998779,1.805851121416957e-09,0.1325748840551252,1.0709934138312396,0.24757366822802038,0.06564410072086363,0.26514976811025026,0.2651497681102504,-1.1102230246251565e-16
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.8644136951011765,0.0639022620247869,0.0639022601794051,1.845381750187336e-09,0.1355863048988235,1.0727232937920816,0.2527889637215302,0.06854944302041002,0.2711726097976469,0.271172609797647,-1.1102230246251565e-16
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.8628943082929105,0.0652360132601985,0.0652360113950803,1.865118184896097e-09,0.1371056917070895,1.0735982127900363,0.2554134127156996,0.07003726524330865,0.274211383414179,0.274211383414179,0.0
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.8598284397351382,0.0679619132783456,0.067961911296144,1.9822015695503126e-09,0.1401715602648617,1.0753680056020778,0.26069505422263767,0.07308406500743969,0.28034312052972343,0.2803431205297234,5.551115123125783e-17
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.8628943401254519,0.0652359852349565,0.0652359833321789,1.9027775188806832e-09,0.1371056598745481,1.0735981944447344,0.2554133577794609,0.07003723391825406,0.2742113197490962,0.2742113197490962,0.0
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.868917044862602,0.0600167549161464,0.0600167531654265,1.750719812176893e-09,0.1310829551373979,1.0701384555819249,0.24498316914724264,0.06422623554149111,0.2621659102747957,0.2621659102747958,-1.1102230246251565e-16
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.8718732553801489,0.0575218009837374,0.0575217993056988,1.678038562269446e-09,0.128126744619851,1.0684484081663053,0.2398370265528215,0.061459074903035565,0.256253489239702,0.256253489239702,0.0
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.8654608839825929,0.0629896864105271,0.0629896845727549,1.837772115043101e-09,0.1345391160174071,1.0721211134323965,0.2509774582960687,0.06753257075889743,0.269078232034814,0.2690782320348142,-1.6653345369377348e-16
