name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,R_peak_dimless,hessian_mixing_max_radius_dimless,required_driver,driver_d3_action_peak,relative_error_pct_d3_action_peak,driver_d3_mixing_peak,relative_error_pct_d3_mixing_peak,driver_d4_action_peak,relative_error_pct_d4_action_peak,driver_d4_mixing_peak,relative_error_pct_d4_mixing_peak
baseline_zero_bias,baseline,0.0,0.0,0.0,0.8659239768610854,0.0625878658328138,0.0625878640071892,1.825624595941377e-09,0.1340760231389146,1.0718550298948737,5.860202508437851,5.913579732488854,0.06708511684648207,0.06786382640097717,1.1607784127097842,0.06725808839067157,0.25783892511559436,0.09048510186796956,34.881037883613054,0.0896774511875621,33.67711856682079
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.868917075745516,0.0600167286553049,0.060016726869239,1.7860658091395363e-09,0.1310829242544839,1.0701384378984256,5.88062002583441,5.933122213425559,0.06422620633962389,0.06613757474581579,2.9759945591129933,0.06555867165311324,2.074644275957027,0.08818343299442105,37.30132607881733,0.087411562204151,36.099525701276036
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.8674251159448748,0.0612927230057291,0.0612927211998779,1.805851121416957e-09,0.1325748840551252,1.0709934138312396,5.870411267136131,5.923205133547231,0.06564410072086363,0.06699703006655892,2.061006748265637,0.06640644207470597,1.161325001745439,0.08932937342207857,36.08134233102087,0.08854192276627464,34.88176666899392
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.8644136951011765,0.0639022620247869,0.0639022601794051,1.845381750187336e-09,0.1355863048988235,1.0727232937920816,5.849993749739572,5.9039543314304765,0.06854944302041002,0.06873797867793617,0.27503601666027944,0.06811681016909674,-0.6311252611993834,0.09165063823724823,33.700048022213714,0.09082241355879565,32.491832985067504
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.8628943082929105,0.0652360132601985,0.0652360113950803,1.865118184896097e-09,0.1371056917070895,1.0735982127900363,5.839784991041293,5.894328930372099,0.07003726524330865,0.06961950138815946,-0.5964879606562001,0.06898261838683033,-1.5058367182306354,0.09282600185087929,32.53801605245841,0.09197682451577377,31.325551042359145
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.8598284397351382,0.0679619132783456,0.067961911296144,1.9822015695503126e-09,0.1401715602648617,1.0753680056020778,5.937497395724822,5.994083086795283,0.07308406500743969,0.07000048896281906,-4.219218025580174,0.06934724520336714,-5.113043183479393,0.09333398528375875,27.707709299226437,0.09246299360448952,26.51594242202746
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.8628943401254519,0.0652359852349565,0.0652359833321789,1.9027775188806832e-09,0.1371056598745481,1.0735981944447344,5.898704112671361,5.953539730822118,0.07003723391825406,0.06893202017834335,-1.5780373925113778,0.06830428854100717,-2.4743201298748407,0.09190936023779113,31.22928347665148,0.09107238472134291,30.034239826833577
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.868917044862602,0.0600167549161464,0.0600167531654265,1.750719812176893e-09,0.1310829551373979,1.0701384555819249,5.822284261844244,5.8739114129755405,0.06422623554149111,0.06679292613611622,3.996327315442594,0.06621229863596559,3.0922925463869877,0.08905723484815496,38.66176975392346,0.08828306484795412,37.45639006184931
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.8718732553801489,0.0575218009837374,0.0575217993056988,1.678038562269446e-09,0.128126744619851,1.0684484081663053,5.784657694070586,5.8348264511021295,0.061459074903035565,0.06572301924779402,6.937859626891085,0.06516401531938014,6.028304887748281,0.08763069233039202,42.58381283585475,0.08688535375917351,41.37107318366438
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.8654608839825929,0.0629896864105271,0.0629896845727549,1.837772115043101e-09,0.1345391160174071,1.0721211134323965,5.85641068377849,5.910079586649443,0.06753257075889743,0.06813917751135491,0.8982432412104835,0.06752732348987762,-0.007769982633332173,0.09085223668180654,34.53099098828063,0.09003643131983684,33.3229733564889
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.8656931114646158,0.0627880513404813,0.062788049508824,1.8316572564236462e-09,0.1343068885353842,1.071987663839285,5.858452435518146,5.911829659569149,0.06730801450998959,0.06799944585000332,1.0272645019280935,0.06739233118695603,0.12526989182533033,0.09066592780000443,34.703019335904116,0.08985644158260804,33.500359855767094
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.8661534920698123,0.0623891151344083,0.0623891133147413,1.81966691020774e-09,0.1338465079301877,1.0717232041731648,5.861952581357556,5.915329805408558,0.0668638604271972,0.06772895737100304,1.2938184219078552,0.06712458863071702,0.3899389025012967,0.09030527649467072,35.05842456254382,0.08949945150762269,33.85325187000172
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.8663816688450252,0.0621917846894721,0.0621917828756936,1.8137784885130515e-09,0.1336183311549748,1.071592179341143,5.863702654277262,5.917079878328264,0.06664422814887568,0.06759483230440186,1.4263863232126361,0.06699182551403296,0.5215715971393475,0.09012644307253581,35.23518176428351,0.08932243401871062,34.02876212951915
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.8636551853341286,0.0645666700454716,0.0645666681337468,1.911724778480561e-09,0.1363448146658714,1.0731598933852275,5.93341389224551,5.988249510396266,0.06929035869065109,0.06815731996307942,-1.6352040153669312,0.06754016250680345,-2.525887030923657,0.09087642661743922,31.1530613128441,0.09005355000907125,29.965483958768434
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.8726065391683383,0.0569098388902539,0.056909837204967,1.685286812880271e-09,0.1273934608316617,1.0680300202776392,5.818784116004833,5.868952873036376,0.06078141458401805,0.0649717917356232,6.894175103168743,0.06442232297502368,5.990167250834233,0.08662905564749761,42.525566804225015,0.08589643063336491,41.32022300111231
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.8590563110774242,0.0686556637724513,0.0686556617998352,1.972616014978001e-09,0.1409436889225758,1.075814642129313,5.902787616150673,5.959373307221134,0.07386076622934086,0.07079061091660963,-4.156679478788872,0.07012623196939868,-5.05618131329194,0.09438748122214617,27.791094028281506,0.09350164262586491,26.591758248944085
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.8681721993177041,0.0606523783970994,0.0606523766541883,1.74291103771651e-09,0.1318278006822959,1.0705651228138615,5.788157839909996,5.839784991041293,0.06493231906174368,0.067559834163743,4.046544371071725,0.06696918218491987,3.136901858132246,0.09007977888499068,38.728725828095634,0.0892922429132265,37.51586914417633
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.8678288584126647,0.060946315733619,0.0609463139286372,1.8049817404608422e-09,0.1321711415873353,1.0707619121484493,5.872744697695737,5.925538564106837,0.06525899164062723,0.06676900572347515,2.313878968837524,0.06618063751557529,1.4122894819206477,0.08902534096463353,36.41850529178336,0.08824085002076705,35.216385975894205
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.8685126155226011,0.0603615321313231,0.0603615303442133,1.7871097310329096e-09,0.1314873844773989,1.0703700811999193,5.878286595274803,5.930788782865953,0.06460917613588699,0.06636544917704833,2.718302795670269,0.06578434472169138,1.8188880528870355,0.08848726556939777,36.95773706089369,0.08771245962892184,35.75851740384939
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.863304923917914,0.0648744393735542,0.0648744375091665,1.864387658145894e-09,0.1366950760820859,1.0733616244595443,5.842118421600899,5.896370682111755,0.06963373163073815,0.06938598608450458,-0.3557838140103464,0.06875482841523109,-1.2621802608077992,0.09251464811267276,32.85895491465287,0.09167310455364144,31.650426318922918
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.8640022923875635,0.0642622714920465,0.0642622696457623,1.8462841672173271e-09,0.1359977076124364,1.0729600538410495,5.847660319179965,5.901620900870869,0.06895084829906516,0.06897136591547703,0.029756873074116008,0.06834786582425788,-0.8745105965802247,0.09196182122063605,33.37300916409882,0.09113048776567717,32.16731920455971
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.8610123008053059,0.0669038686927718,0.0669038667411074,1.951664344024273e-09,0.1389876991946941,1.074683922902901,5.915329805408558,5.971040460019167,0.07190050996670623,0.0696732039236459,-3.097761120319864,0.06903056475802302,-3.99155056064574,0.09289760523152786,29.20298517290685,0.09204075301069736,28.011265919139007
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.8617164266663632,0.0662778269868273,0.066277825053916,1.932911289359573e-09,0.1382835733336368,1.0742774631801746,5.920871702987624,5.976290678778282,0.07120077376402029,0.06926013550899882,-2.725585906486494,0.06862516653066379,-3.61738657769759,0.09234684734533175,29.699218791351335,0.09150022204088505,28.510151229736547
