sector,generation,operator,near_zero_count_abs_lt_1e3,below_threshold_count,asymptotic_threshold,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5
QL,1,desired,1,1,0.9999688657437573,-7.555958685199834e-05,1.011487060812496,1.0207448975789908,1.0602539534072055,1.0829141715253332,1.1493815555546174
QL,1,opposite,0,0,0.9999688657437573,1.0105944515802205,1.0189763577978397,1.0552752966638284,1.0759727865588882,1.1373579157736728,1.171154014177274
QL,2,desired,1,2,1.0,3.4818672508545996e-06,0.8112749828010641,1.0167129524827647,1.0235122206571932,1.0674501669960423,1.0919145708331681
QL,2,opposite,0,1,1.0,0.8112815549900859,1.015421084163526,1.021405877408445,1.0622523308154719,1.0840394737946124,1.141877920705546
QL,3,desired,1,1,1.0,-2.175203052960725e-05,1.021076623913848,1.0214244294484687,1.0768550761344673,1.0853054835582994,1.1607632117849964
QL,3,opposite,0,0,1.0,1.0193446122613425,1.0195752534868394,1.071120648778359,1.0781062046445564,1.14943701865741,1.1751102098412387
uR,1,desired,1,1,1.0,-3.173729414698126e-05,1.0215604312406787,1.021706376770819,1.0795423086845477,1.0858960989302764,1.166613092112742
uR,1,opposite,0,0,1.0,1.0196936107180654,1.0198954951794355,1.073483519104511,1.0786233134645784,1.1547434110958497,1.1763126716181558
uR,2,desired,1,1,1.0,-3.0500801769558144e-05,1.0215400478793102,1.0216392548142936,1.0792407794961951,1.085826065875771,1.1659409017757516
uR,2,opposite,0,0,1.0,1.0196774669661237,1.0198351605899554,1.0732187546750869,1.078562001009956,1.1541366513423814,1.176170250179634
uR,3,desired,1,1,1.0,-2.925983018458581e-05,1.0215133393980957,1.0215763120288606,1.0789302735737287,1.0857549637499304,1.1652524934975987
uR,3,opposite,0,0,1.0,1.0196600601485637,1.0197742149488052,1.0729460260387735,1.0784997512408057,1.153514488176511,1.1760256126896185
dR,1,desired,1,1,1.0377267152819212,-4.815954851887743e-05,1.059420076118438,1.0602657894711403,1.120635304898311,1.1241603577715833,1.2117465917183246
dR,1,opposite,0,0,1.0377267152819212,1.057566953868833,1.0583855996153133,1.1142798875345468,1.1169398121404355,1.199339639909589,1.2154117437345076
dR,2,desired,1,1,1.6574988771886308,-4.996917190624521e-05,1.677753137187081,1.6801666265071833,1.7379461101951383,1.7383251672237119,1.8202187054688264
dR,2,opposite,0,0,1.6574988771886308,1.6764069490513795,1.678664178472985,1.7329468624972295,1.7333200801640396,1.811445681963027,1.8268674226136024
dR,3,desired,1,2,2.6474239194422275,-3.932941672754632e-05,2.6295498521294105,2.656300746271341,2.678421367273625,2.6991425182015463,2.7552959790988747
dR,3,opposite,0,1,2.6474239194422275,2.629478314708105,2.655912709005696,2.676583007839085,2.696466847635112,2.7493550508912366,2.7765901174347194
