name,x,y,z,k_geo,correlation_E,relative_shape_residual,adiabatic_relative_error,heavy_norm_fraction,scalar_profile_overlap,gap_min,gap_at_core,theta_total_core,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1
baseline_zero_bias,0.0,0.0,0.0,0.19916603154382903,0.8124927966552392,0.6721388862906411,0.3063535894694712,0.052155190102535096,0.9986825667623659,2.029359201050474,2.2672126903611485,1.5707561449037855,1.92450165145502,0.3758925125746755,-0.0332947527568884,0.3170837961969074,0.487087910111406,0.1040262492400777,-0.1484985634499804
axis_x_m2p0pct,-0.02,0.0,0.0,0.20110780752043,0.8138794911262385,0.66888991810759,0.30645650746434944,0.05208759227356829,0.9986828142786385,2.0264250147819527,2.263232500949017,1.570755157103895,1.94357497123912,0.3777395291146316,-0.0335473416029532,0.3174033379223092,0.4880037521601949,0.1040967765167036,-0.1493293966525119
axis_x_m1p0pct,-0.01,0.0,0.0,0.20013510430879955,0.8131875372705403,0.6705138451443214,0.3064045768735662,0.05212188939560665,0.9986827458514362,2.027895130010891,2.2652084276010034,1.5707556596254382,1.933974556736551,0.376802831815953,-0.0334212943652759,0.3172525943805557,0.4875603455249408,0.1040493964600882,-0.1489100847151111
axis_x_p1p0pct,0.01,0.0,0.0,0.19820065577094023,0.8117956308662182,0.6737643078742173,0.3063034899475323,0.0521874865588293,0.9986822783392235,2.03081730209659,2.2692452654790225,1.5707566133034303,1.9151547105189943,0.3750085737825483,-0.0331677220615229,0.3168968875657991,0.4865864829834648,0.1040273489004105,-0.1480947905667178
axis_x_p2p0pct,0.02,0.0,0.0,0.1972390458224586,0.8110963644835361,0.6753894527529913,0.306254316511118,0.052218775418128374,0.9986818813817748,2.032269535479779,2.2713061233618053,1.5707570651611829,1.905932195546239,0.3741510238370397,-0.033040208224671,0.3166918211473405,0.4860561182774514,0.1040527125594653,-0.1476987236376085
axis_y_m2p0pct,0.0,-0.02,0.0,0.19929324517933378,0.809388224791035,0.6786818055736756,0.3061610798321811,0.05267093958487955,0.9986966779305311,1.9948296471497822,2.2301617670909573,1.5707465311822366,1.9179863027554276,0.3716935327025041,-0.0343048124343948,0.3251127828788425,0.500752663102182,0.0949569982478063,-0.1479867845123921
axis_y_m1p0pct,0.0,-0.01,0.0,0.19922952000613012,0.8109465962172651,0.6754067898589002,0.3062555787849324,0.05241485177322043,0.9986897001800932,2.012028409814287,2.248587268071175,1.570751590758784,1.9209993976791069,0.3736733692118344,-0.0337953244049428,0.321106232323274,0.4939029499313751,0.0994028003617511,-0.1482249323640825
axis_y_p1p0pct,0.0,0.01,0.0,0.1991130730102649,0.8140243039472407,0.6688992792521651,0.3064552093895434,0.05189536881412238,0.9986758091188054,2.0467717577002182,2.285882438599411,1.5707602567408205,1.9282528504350989,0.3782504643415244,-0.0328100368070936,0.3131394678882188,0.4804667127087068,0.1087089008536006,-0.1487818270582127
axis_y_p2p0pct,0.0,0.02,0.0,0.19906005346994937,0.8155421777448693,0.6656708920864154,0.3065606129997481,0.051632145736138876,0.9986689203834316,2.0643699396608675,2.3047504552530897,1.5707639522434984,1.932493718494151,0.3808476963871477,-0.0323341767113781,0.3091867330030659,0.4738873703797898,0.1135701850379911,-0.1490993711061682
axis_z_m2p0pct,0.0,0.0,-0.02,0.1989158197576748,0.8132712921277374,0.6697729434304209,0.3067910317006811,0.052248574364904904,0.9986926422555835,2.0173561877666515,2.2556968507462734,1.570752168153514,1.924906155059661,0.3756414361195989,-0.0333795449851437,0.3177009586415946,0.4881519103857146,0.1033416529154109,-0.1484971850110844
axis_z_m1p0pct,0.0,0.0,-0.01,0.1990463151221193,0.8128832404064196,0.670961102524693,0.3065695587844918,0.05220377775698144,0.9986878709363989,2.0233714941370082,2.261371623915335,1.5707542111788488,1.9245857821159569,0.3757179571703061,-0.033340347381359,0.3174351863018937,0.4876934671586005,0.1036269680357601,-0.1484854915744794
axis_z_p1p0pct,0.0,0.0,0.01,0.19928549805153878,0.812098657714169,0.6733244160733244,0.3061430653176423,0.052106170895322865,0.99867724584495,2.035365459290836,2.2730657941737222,1.5707579916409822,1.9244128601574804,0.376065059606637,-0.0332497630762533,0.3167371659422918,0.4864912354113295,0.104420834641148,-0.1485111965962462
axis_z_p2p0pct,0.0,0.0,0.02,0.1994046916122895,0.8117008592418965,0.674517622102619,0.3059380838397048,0.05205671825500715,0.9986719083902975,2.0413903731035643,2.2789309606790167,1.5707597554981991,1.9243193654213424,0.3762355591234897,-0.0332053712350027,0.3163952601489779,0.4859033565471078,0.1048107208691625,-0.1485233868812123
pair_xm1p5_ym1p5,-0.015,-0.015,0.0,0.20071451062137652,0.8112233729627325,0.6745918911225154,0.30628067745445764,0.05249564909139616,0.9986935440986258,2.001270638224705,2.236374207782963,1.5707483146480459,1.933376471992604,0.3740048081884755,-0.0342424481392956,0.3233747214795704,0.4980697541551392,0.0971684825826408,-0.1487087382431292
pair_xm1p5_yp1p5,-0.015,0.015,0.0,0.20054572099862594,0.8158115838649694,0.6648675019996361,0.3065885981163517,0.05171208311729543,0.9986726354154634,2.053295484307751,2.2922369344749196,1.5707614948064108,1.9448265061329093,0.3808951403485922,-0.0327586921078964,0.3114169583458784,0.4778624246127509,0.1111650812317553,-0.149563143052356
pair_xp1p5_ym1p5,0.015,-0.015,0.0,0.1978193417506851,0.8091092346902448,0.6794991471601974,0.3061370845393055,0.052589617076202445,0.9986927569261463,2.0055224895597545,2.2423493336222218,1.570749903278855,1.9057064365432816,0.3713360907329653,-0.0338560822336296,0.322830131808514,0.4965505803212365,0.0971714851145201,-0.1475051038018271
pair_xp1p5_yp1p5,0.015,0.015,0.0,0.19763813708035816,0.8137517136052191,0.669707017648544,0.3064285329176764,0.05181485519262289,0.9986720092365649,2.057795325796012,2.2983719388002393,1.5707627829066462,1.9160248263808768,0.378177822692555,-0.0323839693825343,0.3108931112289133,0.4764551291023356,0.1110943849715427,-0.1483207289441852
pair_xm1p5_zm1p5,-0.015,0.0,-0.015,0.20043247793039598,0.8141116537047904,0.6679454768523493,0.3067604167299941,0.05217592550302826,0.9986904994522038,2.0181876055628956,2.2555419210169796,1.5707524077928572,1.9389777403025317,0.3770494253723774,-0.033550262180063,0.3178194223544008,0.4886308928183738,0.1035204290981241,-0.1491097830246294
pair_xm1p5_zp1p5,-0.015,0.0,0.015,0.20080892447581208,0.81294743775974,0.6714761072243104,0.3061127685879604,0.052032822562238644,0.9986750527305823,2.0361653971255373,2.2729185769806084,1.5707582126449096,1.9385292832489327,0.3774813701402248,-0.0334198396279059,0.3168516166635771,0.4869601272809528,0.1046087854904138,-0.1491267050636827
pair_xp1p5_zm1p5,0.015,0.0,-0.015,0.19753801733687662,0.8120383023324944,0.6727875692328853,0.30660082297357816,0.052274280431342066,0.9986897725038159,2.0225302723187166,2.2615872401056842,1.5707539542466495,1.910798417657204,0.3743697730263094,-0.0331683800272465,0.3172747339612278,0.4871469843389831,0.1035038768956139,-0.1478904213258474
pair_xp1p5_zp1p5,0.015,0.0,0.015,0.19790012259067366,0.8108455836310893,0.6763843674301134,0.30596904494195126,0.05213124516758727,0.9986743786789101,2.040570147905191,2.278983792178669,1.5707595363549527,1.9102475940188228,0.3747781173647256,-0.0330409849389402,0.3163290601038699,0.4855222451908105,0.1045591933465667,-0.1479001303194305
pair_ym1p5_zm1p5,0.0,-0.015,-0.015,0.1990835713412251,0.8107651328578429,0.6752427597363893,0.30652602688262787,0.05261470296852218,0.9987009728344641,1.9945114766586158,2.2307489944684615,1.5707457524861268,1.9196589746565549,0.3724542542226547,-0.0341176370203554,0.3236189186371766,0.498210675492415,0.096614422149212,-0.1480922598008495
