name,design_phase,x,y,z,success,nfev,cost,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,baseline,0.0,0.0,0.0,True,5,1.4471868967313787e-22,1.2017498107752544e-09,4.546877895727918e-10,2.792280113590361,2.9115388457735385,-0.03159822995947524,0.2596392831231185,0.24228977160268583,2.6636168461581797,-0.6589128653772922,-1.886268918838141e-11,-1.2017498107752544e-09,-4.429789868254375e-12,3.732569808789776e-11,2.731148640577885e-11,-7.549516567451064e-13,-2.1660451210436804e-11
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,True,8,6.020550332527554e-23,7.748135466556505e-10,2.932709903963592e-10,2.796920307386454,2.873559270978922,-0.03166014596426117,0.26139703939452985,0.2433707035679612,2.629222235171515,-0.6545976551486268,-1.2745360322696797e-11,-7.748135466556505e-10,3.907985046680551e-12,-3.368416656712725e-11,-1.8973711490843925e-11,-3.0531133177191805e-12,-6.1173288656846125e-12
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,True,8,1.2865935458196767e-22,1.1327605520250472e-09,4.287178269268543e-10,2.8001908380290406,2.847908792966197,-0.03170103470190971,0.2625804061689996,0.2441030085469833,2.6060467680603785,-0.6516523142001954,-1.1879386363489175e-12,1.1327605520250472e-09,1.1546319456101628e-12,-1.5987211554602254e-12,-4.629630012686903e-12,-3.452793606584237e-12,5.837552663479073e-11
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,True,8,3.235969082331987e-23,5.684563930685727e-10,2.150072776755713e-10,2.8049911626689887,2.809719796049456,-0.03176370618196554,0.26440698703899984,0.24522787936744722,2.5715132489670185,-0.6472610518979073,-1.255662240851052e-11,5.684563930685727e-10,4.374278717023117e-12,-1.5909495942878493e-11,3.1308289294429414e-12,-1.2878587085651816e-12,-3.5860203695392556e-12
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,True,12,1.607030397373969e-23,3.783084956410221e-10,1.5151743743957238e-10,2.7879299464257374,2.949287374481009,-0.031537112769913,0.2579138857972824,0.24123129481926306,2.6978553429650787,-0.6631683052125927,-7.30526750203353e-12,-3.783084956410221e-10,1.0902390101819037e-11,9.015010959956271e-12,3.2795988147427124e-11,-7.37188088351104e-12,-1.272870697732742e-10
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,True,7,2.9247783786711915e-24,1.4921397450962104e-10,6.463934979276498e-11,2.785148128109585,2.97402772195406,-0.031494862612511346,0.256773293815819,0.24053491719016126,2.72034634082199,-0.665913349929301,-5.369038547087257e-11,1.4921397450962104e-10,-1.2434497875801753e-11,7.505107646466058e-12,-8.071321389024888e-12,5.240252676230739e-12,6.161737786669619e-11
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,True,9,3.4389551354415266e-22,1.5950130105579774e-09,7.009133577419262e-10,2.7811619753166448,3.0104967272867382,-0.031429061811115835,0.2550756218116411,0.23950230402994607,2.7535746532562406,-0.6698901965938087,6.66444677221989e-10,1.5950130105579774e-09,2.5843771567224394e-10,-1.1584067038938883e-10,5.758282739520837e-10,-1.9624302183274267e-10,-2.1049828546892968e-11
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,True,11,5.308660132234231e-23,7.269296276035675e-10,2.7538698991196823e-10,2.7131183323672037,2.6788238452459745,-0.031157352992453036,0.253530126993041,0.24637663567611487,2.4857695811767377,-0.6308573336608316,3.6637359812630166e-11,7.269296276035675e-10,-4.4075854077618715e-12,-3.055333763768431e-11,5.773159728050814e-12,5.928590951498336e-12,-8.693046282814976e-12
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,True,12,3.154241716560418e-23,5.586420215308863e-10,2.1227468399146016e-10,2.672958750645774,2.4739896887779405,-0.03111367899957004,0.2507587461085064,0.251842265908915,2.326463297800055,-0.6087138132619373,2.930988785010413e-11,5.586420215308863e-10,3.197442310920451e-12,2.495781359357352e-11,-2.0394796962364126e-11,-1.7763568394002505e-12,3.7836400679225335e-11
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,True,21,1.1390544034696275e-22,1.0309086917459354e-09,4.0338824414522855e-10,2.669213122585537,1.994701572346291,-0.03199893390848481,0.2524732122908876,0.27065271689359544,1.9479081329075318,-0.5613948594768209,1.7414958364270205e-10,-1.0309086917459354e-09,9.345857421294568e-11,-2.4913404672588513e-11,1.794786541609028e-10,-6.012967901369848e-11,2.7755575615628914e-11
