model,sector,generation,operator,near_zero_count_abs_lt_1e3,below_threshold_count,asymptotic_threshold,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3
singlet_flavon_ratio21_6p,QL,1,desired,1,1,0.9999707691848422,-0.0003445039428945764,1.0082687185530121,1.020667909819587,1.0541243733367327
singlet_flavon_ratio21_6p,QL,1,opposite,0,0,0.9999707691848422,1.0076289227106272,1.0189056628073736,1.0496283519630354,1.0756869641547007
singlet_flavon_ratio21_6p,QL,2,desired,1,2,1.0,0.00012733030246282376,0.8767586724917813,1.0164001972478534,1.0248310146636588
singlet_flavon_ratio21_6p,QL,2,opposite,0,1,1.0,0.8768745702114678,1.0151465808802107,1.02256730599603,1.0613537737260639
singlet_flavon_ratio21_6p,QL,3,desired,1,1,1.0,-0.0001798231173670882,1.02116803066418,1.0213104553178765,1.0781887998461048
singlet_flavon_ratio21_6p,QL,3,opposite,0,0,1.0,1.0194082921794103,1.0194858231594877,1.0722124388064194,1.0777013846027974
singlet_flavon_ratio21_6p,uR,1,desired,1,1,1.0,-0.0002441986554424176,1.0214199337937122,1.021583676447023,1.0797861289770594
singlet_flavon_ratio21_6p,uR,1,opposite,0,0,1.0,1.0195750668997372,1.0197795706368389,1.0736259176036589,1.0781365015454978
singlet_flavon_ratio21_6p,uR,2,desired,1,1,1.0,-0.00023338511923870934,1.0213983026478997,1.0215210068505292,1.0795312425194419
singlet_flavon_ratio21_6p,uR,2,opposite,0,0,1.0,1.0195569505057456,1.0197237637120695,1.0734005246910248,1.0780661065623425
singlet_flavon_ratio21_6p,uR,3,desired,1,1,1.0,-0.00022254414623355543,1.021374136220366,1.0214591851641255,1.0792706253344144
singlet_flavon_ratio21_6p,uR,3,opposite,0,0,1.0,1.0195379210638325,1.0196673878778753,1.073170006778677,1.0779945013541843
singlet_flavon_ratio21_6p,dR,1,desired,1,1,1.0381434381174117,-0.0003903505565384972,1.0597225725020247,1.0605283076051344,1.1209457675427723
singlet_flavon_ratio21_6p,dR,1,opposite,0,0,1.0381434381174117,1.0578890465978124,1.0586608091619762,1.1145504723219346,1.1169687240753696
singlet_flavon_ratio21_6p,dR,2,desired,1,1,1.6854765314075233,-0.0004034289701257451,1.7054317243678738,1.708073863764605,1.765066442553573
singlet_flavon_ratio21_6p,dR,2,opposite,0,0,1.6854765314075233,1.7041356102698992,1.7065809150279516,1.7599678785767183,1.7618885277744585
singlet_flavon_ratio21_6p,dR,3,desired,1,2,2.7364533971116276,-0.00030905119883795074,2.731684526869388,2.7478822749953027,2.7759951081625487
singlet_flavon_ratio21_6p,dR,3,opposite,0,1,2.7364533971116276,2.7319036380041615,2.747404166231555,2.773867145795233,2.778122380406128
clebsch_5p,QL,1,desired,1,1,0.9999707622014243,-0.0003450554438272825,1.0082683421728869,1.0206682086192653,1.0541249814855187
clebsch_5p,QL,1,opposite,0,0,0.9999707622014243,1.0076285690002815,1.0189059236865876,1.0496288708421309,1.0756880189706288
clebsch_5p,QL,2,desired,1,2,1.0,0.0001273303021786384,0.8767586724916098,1.0164001972478514,1.024831014663581
clebsch_5p,QL,2,opposite,0,1,1.0,0.8768745702115196,1.015146580880249,1.022567305996041,1.061353773726218
clebsch_5p,QL,3,desired,1,1,1.0,-0.0001800537830287817,1.0211695195984207,1.0213109572162613,1.0781948967175652
clebsch_5p,QL,3,opposite,0,0,1.0,1.0194094858769498,1.0194863755859418,1.072217838734935,1.0777030176207876
clebsch_5p,uR,1,desired,1,1,1.0,-0.0002434041025265613,1.0214183912974901,1.0215790730763488,1.0797675676504204
clebsch_5p,uR,1,opposite,0,0,1.0,1.0195737570367776,1.0197754912608117,1.0736095058675283,1.078131363177212
clebsch_5p,uR,2,desired,1,1,1.0,-0.00023259070785035068,1.0213966434648283,1.0215164159581465,1.0795123206990427
clebsch_5p,uR,2,opposite,0,0,1.0,1.019555591093585,1.0197196423468862,1.0733837901831536,1.0780608950133057
clebsch_5p,uR,3,desired,1,1,1.0,-0.0002217499975560858,1.0213721807653526,1.0214547815176416,1.079251327032388
clebsch_5p,uR,3,opposite,0,0,1.0,1.0195364768516264,1.01966325552624,1.0731529348937845,1.0779892141957572
clebsch_5p,dR,1,desired,1,1,1.0376087321758358,-0.0003895579916029684,1.0591878512870618,1.059989390551705,1.1203964048184665
clebsch_5p,dR,1,opposite,0,0,1.0376087321758358,1.057353886867865,1.0581219386118499,1.1140012089436158,1.1164321580561327
clebsch_5p,dR,2,desired,1,1,1.684730053313802,-0.00040243860079913356,1.7046851818733562,1.7073212983273873,1.7643193185528763
clebsch_5p,dR,2,opposite,0,0,1.684730053313802,1.7033887918937254,1.7058286313743798,1.7592198011147469,1.761118942032549
clebsch_5p,dR,3,desired,1,2,2.7354389612613037,-0.0003078037538333698,2.7306541215931492,2.7467716475292128,2.7749411745186374
clebsch_5p,dR,3,opposite,0,1,2.7354389612613037,2.7308726919769994,2.7462966825736874,2.7728143636725098,2.7770423938896482
two_amplitude_core_clebsch_4p,QL,1,desired,1,1,0.9999705687190563,-0.0003603471966596768,1.008257755106783,1.0206764430891437,1.0541415473610072
two_amplitude_core_clebsch_4p,QL,1,opposite,0,0,0.9999705687190563,1.007618621727405,1.0189131129923081,1.04964298540575,1.0757170877875195
two_amplitude_core_clebsch_4p,QL,2,desired,1,2,1.0,0.000127330302226893,0.8767586724917451,1.0164001972478802,1.0248310146637145
two_amplitude_core_clebsch_4p,QL,2,opposite,0,1,1.0,0.8768745702114719,1.0151465808802465,1.022567305996141,1.0613537737261154
two_amplitude_core_clebsch_4p,QL,3,desired,1,1,1.0,-0.0001864413803044455,1.0212101391093769,1.0213251238346033,1.0783625618231796
