name,design_phase,x,y,z,epsilon_med,exact_slope_ratio,six_param_max_error_pct,six_param_rms_error_pct,four_param_max_error_pct,four_param_rms_error_pct,a0_wall,a1_wall,hQ6,hu06,a06,a16,hd06,hd16,hQ4,hu04,hd04,hd14
baseline_zero_bias,baseline,0.0,0.0,0.0,0.047619047619047616,0.0479550963713269,0.09322677882548369,0.049076280887063686,1.0040605669717317,0.5923808989361792,0.2635365830624751,0.24395430601636955,2.7926863645312205,2.948411136895507,0.26103169010011806,0.2423142118623506,2.691278815204897,-0.664566806898766,2.7631941092672823,2.951874323239716,2.6892659030104014,-0.666924708623902
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.047619047619047616,0.048365810227463536,0.20755274500693366,0.1090023201156132,0.7802500748796737,0.4643904471877978,0.2635365830624751,0.24203975342888007,2.7976645823683666,2.95498438921835,0.2645277446930838,0.2434386292446852,2.6901177322428964,-0.6671414454026346,2.817674438745377,2.9610397502745958,2.696666294117483,-0.6657989188773109
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.047619047619047616,0.04864716047363067,0.28589735119258775,0.14996913351378502,2.005040629848187,1.1638653570642155,0.26353658306247524,0.24083056232099262,2.801078191181458,2.9595449884969205,0.2669240595804595,0.24420772319505663,2.6893580508717005,-0.6688999237254243,2.8525002438996196,2.9665323745258827,2.7010248355286794,-0.6650408187346777
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.047619047619047616,0.04907402676065175,0.4055370350830034,0.21224605369708813,3.886267000547361,2.236113808473778,0.2635365830624751,0.239117541584818,2.8060307047376822,2.9667396160027137,0.27063335821589163,0.24540403124049587,2.6883009555687503,-0.6716332008297301,2.901775838048838,2.9735568321902788,2.706470322650266,-0.6638366976228698
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.047619047619047616,0.04755521716286352,0.017686574819686385,0.009325946214519465,2.535618843298759,1.5176497316052366,0.2635365830624752,0.24566732675254419,2.787836829230967,2.94224088728277,0.2576525536351948,0.24122783637007308,2.692552861450497,-0.6620928626579696,2.710701436585786,2.9451333991022057,2.6836630573067906,-0.6679644771857615
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.047619047619047616,0.047295736924113416,0.08943879874530047,0.047233123712142784,3.5705685303866863,2.1500091178974547,0.2635365830624751,0.24697728378608877,2.784620941611095,2.9381898695125344,0.255460205927964,0.24052190734659468,2.693325045425022,-0.6604623034099328,2.6739850127964493,2.9391125819964654,2.6786954766057898,-0.6687438559689651
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.047619047619047616,0.046916736460576945,0.19364814028706157,0.10252524692778171,4.934585997845686,3.016113330765411,0.2635365830624752,0.24879107044792084,2.7798284678811527,2.9321828622479584,0.2522589839416062,0.2394900794123164,2.6943548422592065,-0.6580424563739742,2.621564128499055,2.9318488624019006,2.67260428504136,-0.6698776275366622
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.047619047619047616,0.0493889051136943,0.37127196149325803,0.1982369761193811,4.839945629768594,2.3512341406985366,0.25574789995961444,0.2550385578386744,2.7090798695519127,2.853607067687403,0.2583649883285924,0.24525691003794048,2.619680474287282,-0.6558925712206192,2.6401445030850357,2.7278229690413793,2.5275912695343123,-0.6575467589037132
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.047619047619047616,0.051113804749788695,0.5797228546776778,0.31216785536016206,6.4342573762070865,3.114095209644894,0.2506837522414029,0.262797534114288,2.6568241072049803,2.7907085135118246,0.25709017439536525,0.24795737581484237,2.572231296901055,-0.6517445682762145,2.594774900917979,2.583485173960715,2.425548549399382,-0.6528555098358354
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.047619047619047616,0.0569989791825053,0.9178860666884003,0.49969236930802124,7.51635400994175,3.689844437526482,0.24327492769585035,0.27488944519316605,2.5829717259496996,2.694194486168375,0.255740859115395,0.2532938391293164,2.499966242940369,-0.6478602449318924,2.5668471875608367,2.3880810961217915,2.2916993671227193,-0.6502587694137081
