sign,sign_numeric,c_g,N_eff,k_weighted_over_k0,mismatch_pct,max_flavor_error_pct_interp,rms_flavor_error_pct_interp
suppression,-1,0.0,21.0,1.0,0.0,0.5957124147949688,0.3504822139011199
suppression,-1,0.01,20.9959706727723,0.9998081272748716,-0.01918727251284391,0.5860131047240642,0.3479978444947983
suppression,-1,0.02,20.991942194675687,0.9996162949845565,-0.03837050154434918,0.5763158386632898,0.34551399863872895
suppression,-1,0.03,20.98791456552241,0.9994245031201148,-0.05754968798852289,0.5666164139483503,0.3431255570588559
suppression,-1,0.04,20.983887785124768,0.999232751672608,-0.0767248327391945,0.5569151204701361,0.3408259640541419
suppression,-1,0.05,20.97986185329511,0.9990410406331004,-0.09589593668996033,0.547579389533733,0.3385334738454403
suppression,-1,0.06,20.975836769845817,0.9988493699926579,-0.11506300073420572,0.5484737579790518,0.33642767977256377
suppression,-1,0.07,20.97181253458932,0.9986577397423485,-0.13422602576514953,0.5493679379570059,0.33432232944684964
suppression,-1,0.08,20.967789147338085,0.9984661498732421,-0.15338501267578852,0.5518153543497013,0.3323285618097687
suppression,-1,0.09,20.963766607904624,0.9982746003764107,-0.17253996235893077,0.5555355388436545,0.3304263107884824
suppression,-1,0.1,20.959744916101496,0.9980830912429284,-0.19169087570716226,0.5592546428363492,0.32853786302164645
suppression,-1,0.11,20.955724071741294,0.9978916224638711,-0.21083775361289137,0.5629685846763827,0.3268476735470202
suppression,-1,0.12,20.951704074636655,0.997700194030317,-0.22998059696830442,0.5666817439300724,0.32515784022207483
suppression,-1,0.13,20.94768492460027,0.9975088059333462,-0.2491194066653768,0.570397652334292,0.32359496088406364
suppression,-1,0.14,20.943666621444855,0.9973174581640407,-0.26825418359592845,0.5741153767105608,0.3221255770897299
suppression,-1,0.15,20.93964916498318,0.9971261507134848,-0.287384928651524,0.5778324420626839,0.3206763770466589
suppression,-1,0.16,20.93563255502805,0.9969348835727643,-0.30651164272357256,0.5815500233684424,0.3194351457473557
suppression,-1,0.17,20.93161679139232,0.9967436567329676,-0.3256343267032391,0.5852668213616039,0.3181941759815692
suppression,-1,0.18,20.927601873888882,0.9965524701851849,-0.3447529814815109,0.5889825398554789,0.3170934969011364
suppression,-1,0.19,20.923587802330673,0.9963613239205082,-0.3638676079491754,0.5926972756849119,0.3160874360627623
suppression,-1,0.2,20.919574576530664,0.9961702179300316,-0.3829782069968424,0.5964114913654371,0.3151070573802884
suppression,-1,0.21,20.915562196301885,0.9959791522048517,-0.402084779514833,0.6001271381335045,0.3143416423804687
suppression,-1,0.22,20.91155066145739,0.9957881267360662,-0.42118732639337964,0.603842002037235,0.3135763886489674
suppression,-1,0.23,20.90753997181029,0.9955971415147757,-0.4402858485224259,0.6075586948915102,0.31296147360219156
suppression,-1,0.24,20.903530127173727,0.9954061965320823,-0.4593803467917712,0.6112762505605052,0.3124413314670994
suppression,-1,0.25,20.899521127360895,0.9952152917790903,-0.4784708220909706,0.614992724540904,0.3119509348877266
suppression,-1,0.26,20.895512972185024,0.9950244272469059,-0.4975572753094126,0.6187062159073596,0.3116790644126505
suppression,-1,0.27,20.891505661459384,0.9948336029266374,-0.5166397073362639,0.6224189249042454,0.3114072512160666
suppression,-1,0.28,20.887499194997293,0.9946428188093949,-0.5357181190605131,0.6261316860862369,0.31129147129094853
suppression,-1,0.29,20.88349357261211,0.994452074886291,-0.5547925113709051,0.6298441673197127,0.31126960455909825
suppression,-1,0.3,20.879488794117236,0.9942613711484398,-0.5738628851560179,0.6335569055403202,0.3112796837536881
suppression,-1,0.31,20.875484859326107,0.9940707075869575,-0.592929241304252,0.6372759614121116,0.3115080012916282
suppression,-1,0.32,20.87148176805222,0.9938800841929629,-0.611991580703708,0.6409942337826937,0.3117362707294394
suppression,-1,0.33,20.86747952010909,0.9936895009575757,-0.6310499042424311,0.6447097473041313,0.3121213066460401
suppression,-1,0.34,20.86347811531029,0.9934989578719186,-0.6501042128081447,0.6484233169400011,0.3125984319378104
suppression,-1,0.35000000000000003,20.85947755346943,0.9933084549271156,-0.6691545072884386,0.6521368892152406,0.31310763349546644
suppression,-1,0.36,20.855477834400165,0.9931179921142936,-0.6882007885706365,0.6558549038409592,0.31383089510419837
suppression,-1,0.37,20.851478957916186,0.9929275694245803,-0.707243057541973,0.659572135225567,0.31455400434983255
suppression,-1,0.38,20.847480923831238,0.9927371868491066,-0.7262813150893388,0.6632875291121051,0.31542964397821277
suppression,-1,0.39,20.843483731959093,0.9925468443790044,-0.7453155620995577,0.6670015213969305,0.3163947207870572
suppression,-1,0.4,20.839487382113575,0.9923565420054083,-0.7643457994591651,0.6707147259043778,0.31739000054388605
suppression,-1,0.41000000000000003,20.835491874108552,0.9921662797194548,-0.7833720280545187,0.6744271114715231,0.31859166682131207
