q_p_over_Mcomp,rho_ZoverM2_adj_over_singlet,derivative_normalization_mismatch_pct,N_eff,within_inherited_sub1pct_N_interval
0.0,0.97,-3.0,21.0,True
0.0,0.98,-2.0,21.0,True
0.0,0.99,-1.0,21.0,True
0.0,1.0,0.0,21.0,True
0.0,1.01,1.0,21.0,True
0.0,1.02,2.0,21.0,True
0.0,1.03,3.0,21.0,True
0.0,1.05,5.0,21.0,True
0.25,0.97,-3.0,21.03712433706541,True
0.25,0.98,-2.0,21.024734982332156,True
0.25,0.99,-1.0,21.01236021188935,True
0.25,1.0,0.0,21.0,True
0.25,1.01,1.0,20.98765432098765,True
0.25,1.02,2.0,20.975323149236196,True
0.25,1.03,3.0,20.963006459189664,True
0.25,1.05,5.0,20.938416422287393,True
0.5,0.97,-3.0,21.126760563380284,True
0.5,0.98,-2.0,21.084337349397586,True
0.5,0.99,-1.0,21.04208416833667,True
0.5,1.0,0.0,21.0,True
0.5,1.01,1.0,20.95808383233533,True
0.5,1.02,2.0,20.916334661354583,True
0.5,1.03,3.0,20.87475149105368,True
0.5,1.05,5.0,20.79207920792079,True
1.0,0.97,-3.0,21.31979695431472,False
1.0,0.98,-2.0,21.212121212121215,False
1.0,0.99,-1.0,21.105527638190953,True
1.0,1.0,0.0,21.0,True
1.0,1.01,1.0,20.895522388059703,True
1.0,1.02,2.0,20.79207920792079,True
1.0,1.03,3.0,20.68965517241379,True
1.0,1.05,5.0,20.48780487804878,False
2.0,0.97,-3.0,21.51639344262295,False
2.0,0.98,-2.0,21.34146341463415,False
2.0,0.99,-1.0,21.169354838709676,False
2.0,1.0,0.0,21.0,True
2.0,1.01,1.0,20.833333333333336,True
2.0,1.02,2.0,20.669291338582678,True
2.0,1.03,3.0,20.5078125,True
2.0,1.05,5.0,20.19230769230769,False
3.0,0.97,-3.0,21.58273381294964,False
3.0,0.98,-2.0,21.384928716904277,False
3.0,0.99,-1.0,21.19071644803229,False
3.0,1.0,0.0,21.0,True
3.0,1.01,1.0,20.81268582755203,True
3.0,1.02,2.0,20.6286836935167,True
3.0,1.03,3.0,20.44790652385589,False
3.0,1.05,5.0,20.095693779904305,False
3.6,0.97,-3.0,21.601626974770106,False
3.6,0.98,-2.0,21.397290669158004,False
3.6,0.99,-1.0,21.196783896344282,False
3.6,1.0,0.0,21.0,True
3.6,1.01,1.0,20.80683624801272,True
3.6,1.02,2.0,20.6171936536514,True
3.6,1.03,3.0,20.430976806422837,False
3.6,1.05,5.0,20.068455640744798,False
