name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial
baseline_zero_bias,baseline,0.0,0.0,0.0,0.8659239768610854,0.0625878658328138,0.0625878640071892,1.8256245959413775e-09,0.13407602313891465,1.0718550298948735
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.868917075745516,0.0600167286553049,0.06001672686923909,1.7860658091395365e-09,0.13108292425448398,1.0701384378984256
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.8674251159448748,0.0612927230057291,0.06129272119987798,1.805851121416957e-09,0.1325748840551252,1.0709934138312396
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.8644136951011765,0.0639022620247869,0.06390226017940515,1.845381750187336e-09,0.1355863048988235,1.0727232937920816
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.8628943082929105,0.0652360132601985,0.06523601139508031,1.8651181848960974e-09,0.13710569170708953,1.0735982127900365
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.8598284397351382,0.0679619132783456,0.06796191129614403,1.9822015695503126e-09,0.14017156026486177,1.0753680056020778
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.8628943401254519,0.0652359852349565,0.06523598333217898,1.902777518880683e-09,0.13710565987454815,1.0735981944447344
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.868917044862602,0.0600167549161464,0.06001675316542659,1.750719812176893e-09,0.13108295513739798,1.0701384555819249
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.8718732553801489,0.0575218009837374,0.05752179930569884,1.678038562269446e-09,0.12812674461985107,1.0684484081663053
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.8654608839825929,0.0629896864105271,0.06298968457275499,1.8377721150431015e-09,0.1345391160174071,1.0721211134323965
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.8656931114646158,0.0627880513404813,0.06278804950882404,1.8316572564236466e-09,0.1343068885353842,1.071987663839285
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.8661534920698123,0.0623891151344083,0.06238911331474139,1.81966691020774e-09,0.1338465079301877,1.0717232041731648
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.8663816688450252,0.0621917846894721,0.06219178287569361,1.8137784885130515e-09,0.1336183311549748,1.071592179341143
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.8636551853341286,0.0645666700454716,0.06456666813374683,1.9117247784805613e-09,0.13634481466587145,1.0731598933852275
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.8726065391683383,0.0569098388902539,0.05690983720496709,1.6852868128802712e-09,0.1273934608316617,1.0680300202776392
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.8590563110774242,0.0686556637724513,0.06865566179983529,1.9726160149780014e-09,0.1409436889225758,1.075814642129313
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.8681721993177041,0.0606523783970994,0.060652376654188364,1.7429110377165102e-09,0.13182780068229594,1.0705651228138617
