model,sector,generation,operator,near_zero_count_abs_lt_1e3,below_threshold_count,asymptotic_threshold,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3
zero_fit_raw_rational,QL,1,desired,1,1,0.999970915991154,-0.00014753792833093745,1.008278451632955,1.0206612253710425,1.0541145438653317
zero_fit_raw_rational,QL,1,opposite,0,0,0.999970915991154,1.007622533025939,1.0189018990398613,1.0495977914416534,1.0756717383346868
zero_fit_raw_rational,QL,2,desired,1,2,1.0,5.6655530799232285e-05,0.8768279948833814,1.0164016315496613,1.0248334373221228
zero_fit_raw_rational,QL,2,opposite,0,1,1.0,0.8768795071744301,1.0151449046675698,1.0225678175202637,1.061349747630727
zero_fit_raw_rational,QL,3,desired,1,1,1.0,-7.77397772032865e-05,1.0211361395081153,1.0213010168740404,1.0780583213201558
zero_fit_raw_rational,QL,3,opposite,0,0,1.0,1.0193834402108777,1.0194734436610975,1.0721063638098272,1.0776609617605888
zero_fit_raw_rational,uR,1,desired,1,1,1.0,-0.00010190831292098833,1.0213908108069685,1.0214974372640706,1.0794332874018333
zero_fit_raw_rational,uR,1,opposite,0,0,1.0,1.019548246010717,1.019704079258458,1.0733229260397301,1.078033517598928
zero_fit_raw_rational,uR,2,desired,1,1,1.0,-9.709527351289188e-05,1.0213647224228406,1.021437057709454,1.0791709947638093
zero_fit_raw_rational,uR,2,opposite,0,0,1.0,1.0195288360491093,1.0196476951267999,1.0730909963898563,1.0779616169752655
zero_fit_raw_rational,uR,3,desired,1,1,1.0,-9.227103402990236e-05,1.0213275761063476,1.0213859484773036,1.0789026397281176
zero_fit_raw_rational,uR,3,opposite,0,0,1.0,1.0195072261887943,1.0195919410452512,1.0728536386357441,1.0778884554803148
zero_fit_raw_rational,dR,1,desired,1,1,1.0399415962190948,-0.00016783399179074032,1.0614980923933024,1.062264295933853,1.122497081930396
zero_fit_raw_rational,dR,1,opposite,0,0,1.0399415962190948,1.0596657681606176,1.0604072580344857,1.1161437028457977,1.1186809982610673
zero_fit_raw_rational,dR,2,desired,1,1,1.6939670857220435,-0.00017182157276486622,1.7138549398298568,1.716453893509974,1.7732899402974478
zero_fit_raw_rational,dR,2,opposite,0,0,1.6939670857220435,1.7125619107878618,1.7149779672847092,1.768205333798908,1.7699130275183808
zero_fit_raw_rational,dR,3,desired,1,2,2.7593131171426686,-0.00012656893006983517,2.7492798626350488,2.765929322817185,2.7959822342237293
zero_fit_raw_rational,dR,3,opposite,0,1,2.7593131171426686,2.749374822468324,2.765653089383038,2.7939329280995877,2.7977081697381716
five_fixed_two_fit,QL,1,desired,1,1,0.9999709159591178,-0.00014753905178434493,1.008278449991372,1.0206612267526765,1.0541145467945539
five_fixed_two_fit,QL,1,opposite,0,0,0.9999709159591178,1.0076225314388179,1.0189019002480322,1.049597793887195,1.0756717432189307
five_fixed_two_fit,QL,2,desired,1,2,1.0,5.6655530974465736e-05,0.8768279948833588,1.016401631549632,1.0248334373221424
five_fixed_two_fit,QL,2,opposite,0,1,1.0,0.8768795071743914,1.0151449046676895,1.0225678175202497,1.0613497476307978
five_fixed_two_fit,QL,3,desired,1,1,1.0,-7.77402481555816e-05,1.0211361464750222,1.021301019136513,1.0780583496127751
five_fixed_two_fit,QL,3,opposite,0,0,1.0,1.0193834459605176,1.019473446002999,1.072106388863589,1.077660969314412
five_fixed_two_fit,uR,1,desired,1,1,1.0,-0.00010190880537967968,1.0213908132219152,1.0214974436120157,1.079433313950184
five_fixed_two_fit,uR,1,opposite,0,0,1.0,1.0195482479322602,1.0197040850177073,1.0733229495118288,1.078033524895983
five_fixed_two_fit,uR,2,desired,1,1,1.0,-9.709576093167766e-05,1.0213647254310472,1.0214370635368728,1.079171021597557
five_fixed_two_fit,uR,2,opposite,0,0,1.0,1.0195288380934935,1.0196477008272127,1.073091020120347,1.0779616243114054
five_fixed_two_fit,uR,3,desired,1,1,1.0,-9.227151645642911e-05,1.021327580748761,1.0213859527472509,1.0789026668593573
five_fixed_two_fit,uR,3,opposite,0,0,1.0,1.019507228540937,1.0195919465057195,1.0728536626366645,1.077888462856422
five_fixed_two_fit,dR,1,desired,1,1,1.0279508761038552,-0.00016668912078729995,1.0495307429269958,1.050253950112167,1.1104681510214771
five_fixed_two_fit,dR,1,opposite,0,0,1.0279508761038552,1.0476856250863507,1.0483889269175255,1.1040831746500097,1.1067330550910681
five_fixed_two_fit,dR,2,desired,1,1,1.6744353433576311,-0.00017103310585173071,1.6943831067517972,1.6969163301254206,1.7539883919873334
five_fixed_two_fit,dR,2,opposite,0,0,1.6744353433576311,1.6930770475669668,1.695432260128926,1.7488551596255166,1.7504105859954622
five_fixed_two_fit,dR,3,desired,1,2,2.7274977669282343,-0.00012687284628396694,2.721398326472702,2.736390942618124,2.7656792370455343
five_fixed_two_fit,dR,3,opposite,0,1,2.7274977669282343,2.7214471836368412,2.7360582674090117,2.763584026592888,2.767621899736063
