name,Gmax_y,q_QL1,c_QL1,q_QL2,c_QL2,q_QL3,c_QL3,q_uR1,c_uR1,q_uR2,c_uR2,q_uR3,c_uR3,q_dR1,c_dR1,q_dR2,c_dR2,q_dR3,c_dR3
baseline_zero_bias,0.7578858342729289,1.0,-3.684301760659124,1.0,0.0,1.0,3.684301760659124,1.0,3.883351479390674,1.0,3.8416588806765306,1.0,3.7999662819623867,1.0175008884669594,4.460667795286656,1.2964623464613407,4.556463243249642,1.6519048138861898,4.369497365583685
corridor_x_m3p0pct,0.7472917887964245,1.0,-3.7427419239961495,1.0,0.0,1.0,3.7427419239961495,1.0,3.8876640430136136,1.0,3.8452975317807625,1.0,3.8029310205479114,1.0181897909064481,4.474225379733623,1.2987432152999663,4.569412631904401,1.656600718600873,4.3773590815193435
corridor_x_m5p0pct,0.740244530814319,1.0,-3.782791660680886,1.0,0.0,1.0,3.782791660680886,1.0,3.890079166813082,1.0,3.8472540821521575,1.0,3.8044289974912324,1.0186491610160056,4.482913819487222,1.3002810145803518,4.577667236378923,1.6597772634414836,4.382145822468695
corridor_x_m8p0pct,0.7296990872681364,1.0,-3.8440381954846305,1.0,0.0,1.0,3.8440381954846305,1.0,3.894048316367546,1.0,3.850518446677174,1.0,3.8069885769868015,1.0193642082178054,4.496515582768319,1.3026582534557842,4.590663488670175,1.6646832521844803,4.389851188429761
corridor_x_p3p0pct,0.768504875253166,1.0,-3.627732284076036,1.0,0.0,1.0,3.627732284076036,1.0,3.8787320461291266,1.0,3.8376950744904965,1.0,3.7966581028518664,1.016822522455775,4.447030401528284,1.2942273624678735,4.543417117159231,1.6473125140020692,4.361410743508048
corridor_x_p5p0pct,0.7755965852221345,1.0,-3.590975232713158,1.0,0.0,1.0,3.590975232713158,1.0,3.875110646220516,1.0,3.8345033727840416,1.0,3.793896099347567,1.0163709356056014,4.4374820566115645,1.292752018658657,4.5342298954824685,1.6442892286665487,4.355462752552671
corridor_x_p8p0pct,0.7862503029483082,1.0,-3.5372475722905907,1.0,0.0,1.0,3.5372475722905907,1.0,3.8689025335712266,1.0,3.828929179420186,1.0,3.7889558252691447,1.015695213848402,4.422506229545504,1.2905592116084612,4.519745328282626,1.6398059732474477,4.345738507934867
corridor_y_m3p0pct,0.7337721136892158,1.0,-3.697494469674446,1.0,0.0,1.0,3.697494469674446,1.0,3.6932191175995297,1.0,3.650757224579636,1.0,3.608295331559742,1.0071791386554674,4.277897119603611,1.288566199525449,4.3652226656701725,1.648567555495651,4.16743576445236
corridor_y_m5p0pct,0.7178642088970869,1.0,-3.723487976580498,1.0,0.0,1.0,3.723487976580498,1.0,3.489661884141437,1.0,3.446319872359888,1.0,3.402977860578339,0.9989170669952163,4.084335831978871,1.285000035673301,4.1644441714940985,1.6530151963939685,3.95543609271441
corridor_y_m8p0pct,0.6942699410113903,1.0,-3.8446329949084537,1.0,0.0,1.0,3.8446329949084537,1.0,2.9191822755603436,1.0,2.8730922289973746,1.0,2.8270021824344056,0.9819847457549938,3.5491919143282735,1.2872050144194596,3.6115017634990574,1.6872937754982176,3.369662256293645
corridor_y_p3p0pct,0.7822822133122322,1.0,-3.6864393371474256,1.0,0.0,1.0,3.6864393371474256,1.0,3.99410787732214,1.0,3.9528250262817606,1.0,3.911542175241381,1.0264869989429448,4.569021695343518,1.3060747890940858,4.671903937892297,1.661814866105261,4.491867630637166
corridor_y_p5p0pct,0.7986923182074483,1.0,-3.6931235489196825,1.0,0.0,1.0,3.6931235489196825,1.0,4.040194466527,1.0,3.99905632940906,1.0,3.9579181922911206,1.0320606098096252,4.6152881876802665,1.3131565456753616,4.722490136252437,1.6708128350796458,4.545716484531039
corridor_y_p8p0pct,0.8235090023222698,1.0,-3.7082448206244267,1.0,0.0,1.0,3.7082448206244267,1.0,4.079460767410645,1.0,4.038418154162636,1.0,3.9973755409146254,1.0400349788919017,4.656511734794534,1.3245285675110572,4.769722087055664,1.6868431944684024,4.596442710109877
corridor_z_m3p0pct,0.756195149832988,1.0,-3.6983632387016234,1.0,0.0,1.0,3.6983632387016234,1.0,3.88738475405804,1.0,3.8456708666740727,1.0,3.8039569792901053,1.0174469324508322,4.464822020928934,1.2960043329190412,4.5600543931629405,1.6508253918452855,4.3727675612869294
corridor_z_m5p0pct,0.7550396489748066,1.0,-3.7079800496469995,1.0,0.0,1.0,3.7079800496469995,1.0,3.888869482270773,1.0,3.8471446492664243,1.0,3.8054198162620754,1.0173852015901728,4.466323271423104,1.2956617175230842,4.56109895269445,1.6500527859369285,4.373577915051534
corridor_z_m8p0pct,0.7532631353171855,1.0,-3.7221990743136826,1.0,0.0,1.0,3.7221990743136826,1.0,3.891534129768709,1.0,3.849789339443039,1.0,3.8080445491173687,1.0173035496510365,4.46906470495823,1.2951779417028584,4.563206966552242,1.6489531578348249,4.3753426956235
corridor_z_p3p0pct,0.7595262180692144,1.0,-3.670839216361705,1.0,0.0,1.0,3.670839216361705,1.0,3.8791037364079575,1.0,3.837427763329842,1.0,3.795751790251726,1.017539661967523,4.4563490394628005,1.2969045541103938,4.552680272918768,1.652968906607557,4.365999012658767
corridor_z_p5p0pct,0.7605923053422867,1.0,-3.661854314004609,1.0,0.0,1.0,3.661854314004609,1.0,3.8767282922471487,1.0,3.835059786819989,1.0,3.793391281392829,1.01757363050417,4.453978738637058,1.2972194645743793,4.550705975064833,1.6537165359099226,4.364215338346018
corridor_z_p8p0pct,0.7621508214679602,1.0,-3.6487239045723787,1.0,0.0,1.0,3.6487239045723787,1.0,3.8715007494213602,1.0,3.8298489156676023,1.0,3.788197081913845,1.0175887873740808,4.448656135517552,1.2976351947753657,4.545858634626266,1.6547520173300514,4.359629007235543
axis_x_m1p0pct,0.7543515504781227,1.0,-3.7034863297553318,1.0,0.0,1.0,3.7034863297553318,1.0,3.884890603119341,1.0,3.8429755880968948,1.0,3.8010605730744484,1.017732124506511,4.465262569507136,1.2972222078386944,4.560865294715333,1.6534659916781775,4.372222891259408
axis_x_m2p0pct,0.7508201697943704,1.0,-3.7229034814464765,1.0,0.0,1.0,3.7229034814464765,1.0,3.886746958189086,1.0,3.8446055081327115,1.0,3.8024640580763376,1.0179701499688305,4.470230948548184,1.2979968128889934,4.56566108589685,1.655054154899897,4.375327480703062
axis_x_p1p0pct,0.7614228927358473,1.0,-3.665233707039728,1.0,0.0,1.0,3.665233707039728,1.0,3.881995239361394,1.0,3.8405224149662462,1.0,3.7990495905710984,1.0172763123290114,4.456293088463152,1.2957171789121893,4.552297914300363,1.6503706882591518,4.3670000734687235
axis_x_p2p0pct,0.7649626118568106,1.0,-3.6462869297788676,1.0,0.0,1.0,3.6462869297788676,1.0,3.8808132504981185,1.0,3.839557568001535,1.0,3.798301885504951,1.0170582612533305,4.452129555351412,1.2949866518284432,4.548360016521663,1.6488636809726809,4.364721727875318
axis_y_m1p0pct,0.7498154214162595,1.0,-3.68688172713663,1.0,0.0,1.0,3.68688172713663,1.0,3.831080470153323,1.0,3.7891795493378178,1.0,3.7472786285223125,1.0142470429927373,4.410182894256291,1.2935837278038842,4.5033454062258675,1.649853329521589,4.313301946192354
axis_y_m2p0pct,0.7417772426544795,1.0,-3.6909789907886523,1.0,0.0,1.0,3.6909789907886523,1.0,3.7689146593167666,1.0,3.72676013424859,1.0,3.684605609180413,1.0108307741858147,4.350436688128046,1.2909465513115101,4.440823680889383,1.648686447724564,4.24722528428248
axis_y_p1p0pct,0.7659876545256135,1.0,-3.683991816876027,1.0,0.0,1.0,3.683991816876027,1.0,3.9271152742465802,1.0,3.885588523712274,1.0,3.844061773177967,1.02060052155927,4.503223988545687,1.2995053219632593,4.601480264934621,1.654627884405568,4.417140800911632
axis_y_p2p0pct,0.774120066457845,1.0,-3.6847519250869274,1.0,0.0,1.0,3.6847519250869274,1.0,3.9640605987784583,1.0,3.9226664974379553,1.0,3.881272396097452,1.023596505363263,4.539427998460762,1.302731670553955,4.64006933575789,1.6579871038754792,4.458023694089745
axis_z_m1p0pct,0.7573279069848019,1.0,-3.689073081163767,1.0,0.0,1.0,3.689073081163767,1.0,3.884408739753709,1.0,3.8427103273337977,1.0,3.8010119149138863,1.0174763613598066,4.461743985981955,1.296297050514247,4.557327359663601,1.6515234230367613,4.370249273147064
axis_z_m2p0pct,0.7567643570484794,1.0,-3.693569655986016,1.0,0.0,1.0,3.693569655986016,1.0,3.886499262229107,1.0,3.8447909895780135,1.0,3.8030827169269203,1.0174749669370957,4.463923687845408,1.2961731107275345,4.55937725960215,1.651209894657744,4.3722053055929475
axis_z_p1p0pct,0.7584381728875973,1.0,-3.679606237905189,1.0,0.0,1.0,3.679606237905189,1.0,3.882274666881258,1.0,3.840587253706555,1.0,3.798899840531852,1.0175236537492722,4.459579075493513,1.2966259250753867,4.555583699457794,1.6522847241759315,4.368725442463705
axis_z_p2p0pct,0.758984956479736,1.0,-3.675087721011277,1.0,0.0,1.0,3.675087721011277,1.0,3.881287189251816,1.0,3.839603189422013,1.0,3.79791918959221,1.017544692003818,4.458602579329874,1.2967877783179158,4.5548161910514215,1.6526630773171056,4.368055883656578
pair_xm1p5_ym1p5,0.7406367998648663,1.0,-3.717917162833655,1.0,0.0,1.0,3.717917162833655,1.0,3.802001018793784,1.0,3.7596411488938863,1.0,3.7172812789939886,1.0128961099362697,4.386859834851028,1.2933946638087592,4.478310159207175,1.6515709162652705,4.283988028050599
pair_xm1p5_yp1p5,0.764602425635668,1.0,-3.713100783401273,1.0,0.0,1.0,3.713100783401273,1.0,3.9501703011815055,1.0,3.908379480369946,1.0,3.8665886595583867,1.022467395150506,4.530457635956065,1.3022257558620225,4.629672290345967,1.6585290907792685,4.44401575361082
pair_xm1p5_zm1p5,0.7517485352975302,1.0,-3.720220365834769,1.0,0.0,1.0,3.720220365834769,1.0,3.8876794721376653,1.0,3.8456415776958583,1.0,3.803603683254051,1.01782039287447,4.4696516585658195,1.2973746696249977,4.564877844468075,1.6537112492224961,4.375232186336651
pair_xm1p5_zp1p5,0.7534099692736869,1.0,-3.7064299527657827,1.0,0.0,1.0,3.7064299527657827,1.0,3.883993871463292,1.0,3.8419732209072897,1.0,3.7999525703512873,1.0178762658624378,4.46590250873463,1.2978367452842472,4.561701467179675,1.654798597728229,4.372356945988676
pair_xp1p5_ym1p5,0.7509530022466525,1.0,-3.659836148752996,1.0,0.0,1.0,3.659836148752996,1.0,3.8008664920614312,1.0,3.7591784956378675,1.0,3.7174904992143043,1.012236590397339,4.3765226910725055,1.2910925828312207,4.468679168771918,1.6467692170537591,4.279468115859886
pair_xp1p5_yp1p5,0.7755050025787801,1.0,-3.655796450310507,1.0,0.0,1.0,3.655796450310507,1.0,3.9427459546970676,1.0,3.901618103307547,1.0,3.860490251918026,1.0217611143835066,4.51390037149585,1.2999898661627398,4.613616410435821,1.6539811785120502,4.432937249190145
pair_xp1p5_zm1p5,0.7623513862109038,1.0,-3.6626840511444363,1.0,0.0,1.0,3.6626840511444363,1.0,3.883659656150292,1.0,3.8422848746620324,1.0,3.8009100931737723,1.0171463014024957,4.456531785470628,1.2951290136484936,4.552381079564195,1.6490834796147684,4.367757799180507
pair_xp1p5_zp1p5,0.7640207989137054,1.0,-3.64883258202737,1.0,0.0,1.0,3.64883258202737,1.0,3.878929124003212,1.0,3.8375762967570948,1.0,3.7962234695109776,1.017182972911074,4.451655026550657,1.2955671728167402,4.548027098887416,1.6501399885574977,4.363713672400214
pair_ym1p5_zm1p5,0.7449740800170889,1.0,-3.6956407310588384,1.0,0.0,1.0,3.6956407310588384,1.0,3.8019863983856883,1.0,3.7599529256585824,1.0,3.7179194529314765,1.0125237494741612,4.382283275314212,1.2920212721391044,4.47375702782784,1.6486714198327548,4.281808999838959
pair_ym1p5_zp1p5,0.7465980290731196,1.0,-3.681893951274348,1.0,0.0,1.0,3.681893951274348,1.0,3.8001108393443377,1.0,3.758102237050392,1.0,3.716093634756446,1.0125877631032194,4.380243558256215,1.2924316600783279,4.472325818747101,1.6496146377018286,4.280751982412129
pair_yp1p5_zm1p5,0.7691897471702105,1.0,-3.691159053818223,1.0,0.0,1.0,3.691159053818223,1.0,3.9490127622092617,1.0,3.9075501649608393,1.0,3.8660875677124165,1.022086818999256,4.524698148314337,1.3008480581532798,4.623886062215938,1.6556378958668385,4.440605831359234
pair_yp1p5_zp1p5,0.7708976680394118,1.0,-3.6774691917695335,1.0,0.0,1.0,3.6774691917695335,1.0,3.9434155336902204,1.0,3.9019661261669567,1.0,3.8605167186436935,1.0221244571102717,4.5190746834799205,1.3013284981895072,4.6187716645086505,1.6568000583684892,4.435736916781707
validation_01,0.7369617640422645,1.0,-3.7302552657819645,1.0,0.0,1.0,3.7302552657819645,1.0,3.7845992186049062,1.0,3.7421132171841553,1.0,3.699627215763405,1.0119370957282563,4.37078549511223,1.2925866745834647,4.4610540071105405,1.6510713149697671,4.2652052106110485
validation_02,0.7619060211128277,1.0,-3.7054475049304028,1.0,0.0,1.0,3.7054475049304028,1.0,3.9300552598888245,1.0,3.8882561959189363,1.0,3.8464571319490486,1.0209393627101604,4.5099549211121905,1.3005565170448838,4.608147305354855,1.6567558425192315,4.421827601914877
validation_03,0.7708439094060341,1.0,-3.6904135670092204,1.0,0.0,1.0,3.6904135670092204,1.0,3.955750124718928,1.0,3.9142718486428647,1.0,3.8727935725668017,1.022822726644085,4.531955662621846,1.301922835683431,4.631841758958747,1.657181665913258,4.448793677690447
validation_04,0.7625943858754667,1.0,-3.6695777391321793,1.0,0.0,1.0,3.6695777391321793,1.0,3.892266780242305,1.0,3.8508446984604507,1.0,3.8094226166785963,1.0178333628779312,4.465992332534788,1.2959931412923833,4.562208538972795,1.6501701393711667,4.377469754873258
validation_05,0.7736102002744257,1.0,-3.639601091104897,1.0,0.0,1.0,3.639601091104897,1.0,3.9186862035630528,1.0,3.877587967644982,1.0,3.8364897317269113,1.0200540250886245,4.488936077384779,1.298199871191237,4.5877476057701525,1.652189848880328,4.406680403049328
validation_06,0.7521019789590055,1.0,-3.6689529472063644,1.0,0.0,1.0,3.6689529472063644,1.0,3.824274237962984,1.0,3.7825237792467363,1.0,3.7407733205304887,1.0137813432189173,4.401260754832641,1.292877078002731,4.494499181108473,1.6488083451185855,4.305498916802271
validation_07,0.7483971098141972,1.0,-3.7090955585532948,1.0,0.0,1.0,3.7090955585532948,1.0,3.849951027828446,1.0,3.8078964860088873,1.0,3.7658419441893285,1.0154582674510395,4.431429559749771,1.29503224032264,4.525010263928456,1.6515779695062043,4.334217432591165
validation_08,0.7593084622804864,1.0,-3.671250413926306,1.0,0.0,1.0,3.671250413926306,1.0,3.8772110562818822,1.0,3.8356037382338997,1.0,3.793996420185917,1.0171549799707382,4.453325431187394,1.2960596214313862,4.549195952292986,1.6514401201213136,4.362814094072801
